trade_time,stock,position
2015-03-27,SN1507.SHF,608.0
2015-03-30,SN1507.SHF,830.0
2015-03-31,SN1507.SHF,1176.0
2015-04-01,SN1507.SHF,1272.0
2015-04-02,SN1507.SHF,1038.0
2015-04-03,SN1507.SHF,1000.0
2015-04-07,SN1507.SHF,904.0
2015-04-08,SN1507.SHF,750.0
2015-04-09,SN1507.SHF,802.0
2015-04-10,SN1507.SHF,916.0
2015-04-13,SN1507.SHF,1008.0
2015-04-14,SN1507.SHF,1894.0
2015-04-15,SN1507.SHF,1692.0
2015-04-16,SN1507.SHF,1962.0
2015-04-17,SN1507.SHF,3584.0
2015-04-20,SN1507.SHF,2656.0
2015-04-21,SN1507.SHF,2964.0
2015-04-22,SN1507.SHF,2738.0
2015-04-23,SN1507.SHF,2468.0
2015-04-24,SN1507.SHF,2526.0
2015-04-27,SN1507.SHF,3096.0
2015-04-28,SN1507.SHF,4452.0
2015-04-29,SN1507.SHF,4638.0
2015-04-30,SN1507.SHF,5578.0
2015-05-04,SN1507.SHF,6072.0
2015-05-05,SN1507.SHF,6392.0
2015-05-06,SN1507.SHF,8600.0
2015-05-07,SN1507.SHF,7606.0
2015-05-08,SN1507.SHF,7344.0
2015-05-11,SN1507.SHF,7580.0
2015-05-12,SN1507.SHF,7502.0
2015-05-13,SN1507.SHF,7156.0
2015-05-14,SN1507.SHF,7222.0
2015-05-15,SN1507.SHF,7396.0
2015-05-18,SN1507.SHF,7298.0
2015-05-19,SN1507.SHF,6732.0
2015-05-20,SN1507.SHF,6122.0
2015-05-21,SN1507.SHF,6916.0
2015-05-22,SN1507.SHF,6632.0
2015-05-25,SN1507.SHF,6844.0
2015-05-26,SN1507.SHF,6648.0
2015-05-27,SN1507.SHF,7100.0
2015-05-28,SN1507.SHF,6654.0
2015-05-29,SN1507.SHF,6090.0
2015-06-01,SN1507.SHF,5706.0
2015-06-02,SN1507.SHF,5624.0
2015-06-03,SN1507.SHF,5472.0
2015-06-04,SN1507.SHF,5214.0
2015-06-05,SN1507.SHF,5218.0
2015-06-08,SN1507.SHF,5128.0
2015-06-09,SN1507.SHF,5112.0
2015-06-10,SN1507.SHF,5090.0
2015-06-11,SN1507.SHF,4910.0
2015-06-12,SN1507.SHF,4014.0
2015-06-15,SN1507.SHF,3794.0
2015-06-16,SN1507.SHF,3668.0
2015-06-17,SN1507.SHF,3574.0
2015-06-18,SN1507.SHF,3462.0
2015-06-19,SN1507.SHF,3422.0
2015-06-23,SN1507.SHF,3304.0
2015-06-24,SN1507.SHF,3194.0
2015-06-25,SN1507.SHF,3092.0
2015-06-26,SN1507.SHF,2948.0
2015-06-29,SN1507.SHF,3000.0
2015-06-30,SN1507.SHF,2810.0
2015-07-01,SN1509.SHF,2930.0
2015-07-02,SN1509.SHF,2810.0
2015-07-03,SN1509.SHF,2900.0
2015-07-06,SN1509.SHF,2884.0
2015-07-07,SN1509.SHF,2794.0
2015-07-08,SN1509.SHF,2882.0
2015-07-09,SN1507.SHF,2668.0
2015-07-10,SN1509.SHF,2666.0
2015-07-13,SN1507.SHF,2664.0
2015-07-14,SN1507.SHF,2664.0
2015-07-15,SN1507.SHF,2664.0
2015-07-16,SN1509.SHF,2220.0
2015-07-17,SN1509.SHF,2314.0
2015-07-20,SN1509.SHF,2316.0
2015-07-21,SN1509.SHF,2140.0
2015-07-22,SN1509.SHF,2098.0
2015-07-23,SN1509.SHF,2130.0
2015-07-24,SN1509.SHF,2078.0
2015-07-27,SN1509.SHF,2084.0
2015-07-28,SN1509.SHF,2068.0
2015-07-29,SN1509.SHF,2024.0
2015-07-30,SN1509.SHF,1958.0
2015-07-31,SN1509.SHF,1960.0
2015-08-03,SN1509.SHF,1906.0
2015-08-04,SN1509.SHF,1744.0
2015-08-05,SN1509.SHF,1792.0
2015-08-06,SN1509.SHF,1736.0
2015-08-07,SN1509.SHF,1680.0
2015-08-10,SN1509.SHF,1590.0
2015-08-11,SN1509.SHF,1506.0
2015-08-12,SN1509.SHF,1536.0
2015-08-13,SN1509.SHF,1476.0
2015-08-14,SN1509.SHF,1458.0
2015-08-17,SN1509.SHF,1512.0
2015-08-18,SN1509.SHF,1526.0
2015-08-19,SN1509.SHF,1364.0
2015-08-20,SN1509.SHF,1280.0
2015-08-21,SN1509.SHF,1288.0
2015-08-24,SN1509.SHF,1264.0
2015-08-25,SN1509.SHF,1196.0
2015-08-26,SN1509.SHF,1104.0
2015-08-27,SN1509.SHF,1060.0
2015-08-28,SN1509.SHF,1028.0
2015-08-31,SN1509.SHF,916.0
2015-09-01,SN1509.SHF,880.0
2015-09-02,SN1509.SHF,868.0
2015-09-07,SN1509.SHF,796.0
2015-09-08,SN1509.SHF,760.0
2015-09-09,SN1509.SHF,756.0
2015-09-10,SN1509.SHF,644.0
2015-09-11,SN1601.SHF,856.0
2015-09-14,SN1601.SHF,830.0
2015-09-15,SN1601.SHF,868.0
2015-09-16,SN1601.SHF,864.0
2015-09-17,SN1601.SHF,870.0
2015-09-18,SN1601.SHF,762.0
2015-09-21,SN1601.SHF,788.0
2015-09-22,SN1601.SHF,776.0
2015-09-23,SN1601.SHF,776.0
2015-09-24,SN1601.SHF,798.0
2015-09-25,SN1601.SHF,764.0
2015-09-28,SN1601.SHF,876.0
2015-09-29,SN1601.SHF,968.0
2015-09-30,SN1601.SHF,1054.0
2015-10-08,SN1601.SHF,1050.0
2015-10-09,SN1601.SHF,1236.0
2015-10-12,SN1601.SHF,1364.0
2015-10-13,SN1601.SHF,1686.0
2015-10-14,SN1601.SHF,1896.0
2015-10-15,SN1601.SHF,2616.0
2015-10-16,SN1601.SHF,2448.0
2015-10-19,SN1601.SHF,2332.0
2015-10-20,SN1601.SHF,2442.0
2015-10-21,SN1601.SHF,2762.0
2015-10-22,SN1601.SHF,2734.0
2015-10-23,SN1601.SHF,2680.0
2015-10-26,SN1601.SHF,2678.0
2015-10-27,SN1601.SHF,2822.0
2015-10-28,SN1601.SHF,3134.0
2015-10-29,SN1601.SHF,3520.0
2015-10-30,SN1601.SHF,4010.0
2015-11-02,SN1601.SHF,3688.0
2015-11-03,SN1601.SHF,3372.0
2015-11-04,SN1601.SHF,3386.0
2015-11-05,SN1601.SHF,3262.0
2015-11-06,SN1601.SHF,3416.0
2015-11-09,SN1601.SHF,3300.0
2015-11-10,SN1601.SHF,3296.0
2015-11-11,SN1601.SHF,3532.0
2015-11-12,SN1601.SHF,3692.0
2015-11-13,SN1601.SHF,3610.0
2015-11-16,SN1601.SHF,3548.0
2015-11-17,SN1601.SHF,3448.0
2015-11-18,SN1601.SHF,3878.0
2015-11-19,SN1601.SHF,4244.0
2015-11-20,SN1601.SHF,4056.0
2015-11-23,SN1601.SHF,3920.0
2015-11-24,SN1601.SHF,3870.0
2015-11-25,SN1601.SHF,3542.0
2015-11-26,SN1601.SHF,3588.0
2015-11-27,SN1601.SHF,3778.0
2015-11-30,SN1601.SHF,4058.0
2015-12-01,SN1601.SHF,3938.0
2015-12-02,SN1601.SHF,4070.0
2015-12-03,SN1601.SHF,4496.0
2015-12-04,SN1601.SHF,4414.0
2015-12-07,SN1601.SHF,4522.0
2015-12-08,SN1601.SHF,4294.0
2015-12-09,SN1601.SHF,4160.0
2015-12-10,SN1601.SHF,4074.0
2015-12-11,SN1601.SHF,4162.0
2015-12-14,SN1601.SHF,4226.0
2015-12-15,SN1601.SHF,3942.0
2015-12-16,SN1601.SHF,3820.0
2015-12-17,SN1601.SHF,3762.0
2015-12-18,SN1601.SHF,3760.0
2015-12-21,SN1605.SHF,3672.0
2015-12-22,SN1605.SHF,4462.0
2015-12-23,SN1605.SHF,4082.0
2015-12-24,SN1605.SHF,4774.0
2015-12-25,SN1605.SHF,4720.0
2015-12-28,SN1605.SHF,5398.0
2015-12-29,SN1605.SHF,5894.0
2015-12-30,SN1605.SHF,5680.0
2015-12-31,SN1605.SHF,5502.0
2016-01-04,SN1605.SHF,5476.0
2016-01-05,SN1605.SHF,5546.0
2016-01-06,SN1605.SHF,5670.0
2016-01-07,SN1605.SHF,5600.0
2016-01-08,SN1605.SHF,6036.0
2016-01-11,SN1605.SHF,6638.0
2016-01-12,SN1605.SHF,6624.0
2016-01-13,SN1605.SHF,7348.0
2016-01-14,SN1605.SHF,6442.0
2016-01-15,SN1605.SHF,6694.0
2016-01-18,SN1605.SHF,6892.0
2016-01-19,SN1605.SHF,6880.0
2016-01-20,SN1605.SHF,5902.0
2016-01-21,SN1605.SHF,6410.0
2016-01-22,SN1605.SHF,6638.0
2016-01-25,SN1605.SHF,7512.0
2016-01-26,SN1605.SHF,7890.0
2016-01-27,SN1605.SHF,9646.0
2016-01-28,SN1605.SHF,10584.0
2016-01-29,SN1605.SHF,8838.0
2016-02-01,SN1605.SHF,8524.0
2016-02-02,SN1605.SHF,8142.0
2016-02-03,SN1605.SHF,7628.0
2016-02-04,SN1605.SHF,7162.0
2016-02-05,SN1605.SHF,6146.0
2016-02-15,SN1605.SHF,6948.0
2016-02-16,SN1605.SHF,7630.0
2016-02-17,SN1605.SHF,7912.0
2016-02-18,SN1605.SHF,8182.0
2016-02-19,SN1605.SHF,9324.0
2016-02-22,SN1605.SHF,11912.0
2016-02-23,SN1605.SHF,17678.0
2016-02-24,SN1605.SHF,17834.0
2016-02-25,SN1605.SHF,17282.0
2016-02-26,SN1605.SHF,14698.0
2016-02-29,SN1605.SHF,14542.0
2016-03-01,SN1605.SHF,14358.0
2016-03-02,SN1605.SHF,14214.0
2016-03-03,SN1605.SHF,20080.0
2016-03-04,SN1605.SHF,16778.0
2016-03-07,SN1605.SHF,16924.0
2016-03-08,SN1605.SHF,17350.0
2016-03-09,SN1605.SHF,16070.0
2016-03-10,SN1605.SHF,15506.0
2016-03-11,SN1605.SHF,15700.0
2016-03-14,SN1605.SHF,15370.0
2016-03-15,SN1605.SHF,15650.0
2016-03-16,SN1605.SHF,15874.0
2016-03-17,SN1605.SHF,15436.0
2016-03-18,SN1605.SHF,16072.0
2016-03-21,SN1605.SHF,14648.0
2016-03-22,SN1605.SHF,14984.0
2016-03-23,SN1605.SHF,14570.0
2016-03-24,SN1605.SHF,16238.0
2016-03-25,SN1605.SHF,17928.0
2016-03-28,SN1605.SHF,16618.0
2016-03-29,SN1605.SHF,16804.0
2016-03-30,SN1605.SHF,18888.0
2016-03-31,SN1605.SHF,19814.0
2016-04-01,SN1605.SHF,16994.0
2016-04-05,SN1605.SHF,16490.0
2016-04-06,SN1605.SHF,15694.0
2016-04-07,SN1605.SHF,15938.0
2016-04-08,SN1605.SHF,15532.0
2016-04-11,SN1605.SHF,14150.0
2016-04-12,SN1605.SHF,14058.0
2016-04-13,SN1605.SHF,13528.0
2016-04-14,SN1605.SHF,13302.0
2016-04-15,SN1605.SHF,13428.0
2016-04-18,SN1605.SHF,13586.0
2016-04-19,SN1605.SHF,12880.0
2016-04-20,SN1605.SHF,12716.0
2016-04-21,SN1605.SHF,12988.0
2016-04-22,SN1605.SHF,12180.0
2016-04-25,SN1605.SHF,11708.0
2016-04-26,SN1605.SHF,11650.0
2016-04-27,SN1605.SHF,11132.0
2016-04-28,SN1605.SHF,10230.0
2016-04-29,SN1605.SHF,9670.0
2016-05-03,SN1609.SHF,9918.0
2016-05-04,SN1609.SHF,10210.0
2016-05-05,SN1609.SHF,12388.0
2016-05-06,SN1609.SHF,10866.0
2016-05-09,SN1609.SHF,10624.0
2016-05-10,SN1609.SHF,10510.0
2016-05-11,SN1609.SHF,10458.0
2016-05-12,SN1609.SHF,10052.0
2016-05-13,SN1609.SHF,12194.0
2016-05-16,SN1609.SHF,11836.0
2016-05-17,SN1609.SHF,11586.0
2016-05-18,SN1609.SHF,12468.0
