trade_time,stock,position
2018-11-27,SP1906.SHF,78270.0
2018-11-28,SP1906.SHF,101512.0
2018-11-29,SP1906.SHF,110832.0
2018-11-30,SP1906.SHF,134838.0
2018-12-03,SP1906.SHF,207934.0
2018-12-04,SP1906.SHF,188012.0
2018-12-05,SP1906.SHF,166492.0
2018-12-06,SP1906.SHF,172558.0
2018-12-07,SP1906.SHF,175492.0
2018-12-10,SP1906.SHF,174892.0
2018-12-11,SP1906.SHF,178926.0
2018-12-12,SP1906.SHF,160768.0
2018-12-13,SP1906.SHF,148716.0
2018-12-14,SP1906.SHF,141336.0
2018-12-17,SP1906.SHF,142682.0
2018-12-18,SP1906.SHF,144854.0
2018-12-19,SP1906.SHF,154904.0
2018-12-20,SP1906.SHF,147294.0
2018-12-21,SP1906.SHF,148736.0
2018-12-24,SP1906.SHF,180976.0
2018-12-25,SP1906.SHF,159952.0
2018-12-26,SP1906.SHF,171804.0
2018-12-27,SP1906.SHF,155260.0
2018-12-28,SP1906.SHF,135666.0
2019-01-02,SP1906.SHF,162558.0
2019-01-03,SP1906.SHF,155182.0
2019-01-04,SP1906.SHF,145862.0
2019-01-07,SP1906.SHF,137304.0
2019-01-08,SP1906.SHF,135222.0
2019-01-09,SP1906.SHF,151822.0
2019-01-10,SP1906.SHF,145902.0
2019-01-11,SP1906.SHF,146038.0
2019-01-14,SP1906.SHF,142160.0
2019-01-15,SP1906.SHF,139904.0
2019-01-16,SP1906.SHF,137610.0
2019-01-17,SP1906.SHF,145666.0
2019-01-18,SP1906.SHF,145996.0
2019-01-21,SP1906.SHF,146590.0
2019-01-22,SP1906.SHF,139224.0
2019-01-23,SP1906.SHF,142278.0
2019-01-24,SP1906.SHF,143160.0
2019-01-25,SP1906.SHF,130228.0
2019-01-28,SP1906.SHF,132686.0
2019-01-29,SP1906.SHF,128038.0
2019-01-30,SP1906.SHF,115214.0
2019-01-31,SP1906.SHF,106656.0
2019-02-01,SP1906.SHF,83168.0
2019-02-11,SP1906.SHF,90606.0
2019-02-12,SP1906.SHF,119386.0
2019-02-13,SP1906.SHF,112092.0
2019-02-14,SP1906.SHF,122630.0
2019-02-15,SP1906.SHF,118384.0
2019-02-18,SP1906.SHF,116540.0
2019-02-19,SP1906.SHF,120844.0
2019-02-20,SP1906.SHF,125076.0
2019-02-21,SP1906.SHF,170686.0
2019-02-22,SP1906.SHF,194514.0
2019-02-25,SP1906.SHF,170580.0
2019-02-26,SP1906.SHF,152924.0
2019-02-27,SP1906.SHF,144200.0
2019-02-28,SP1906.SHF,143216.0
2019-03-01,SP1906.SHF,142096.0
2019-03-04,SP1906.SHF,139180.0
2019-03-05,SP1906.SHF,135332.0
2019-03-06,SP1906.SHF,137062.0
2019-03-07,SP1906.SHF,144446.0
2019-03-08,SP1906.SHF,140478.0
2019-03-11,SP1906.SHF,134334.0
2019-03-12,SP1906.SHF,140402.0
2019-03-13,SP1906.SHF,132086.0
2019-03-14,SP1906.SHF,133290.0
2019-03-15,SP1906.SHF,130312.0
2019-03-18,SP1906.SHF,127940.0
2019-03-19,SP1906.SHF,122040.0
2019-03-20,SP1906.SHF,127350.0
2019-03-21,SP1906.SHF,129116.0
2019-03-22,SP1906.SHF,127888.0
2019-03-25,SP1906.SHF,122744.0
2019-03-26,SP1906.SHF,119484.0
2019-03-27,SP1906.SHF,117510.0
2019-03-28,SP1906.SHF,118452.0
2019-03-29,SP1906.SHF,103370.0
2019-04-01,SP1906.SHF,102890.0
2019-04-02,SP1906.SHF,102154.0
2019-04-03,SP1906.SHF,96478.0
2019-04-04,SP1906.SHF,93730.0
2019-04-08,SP1906.SHF,86640.0
2019-04-09,SP1906.SHF,84002.0
2019-04-10,SP1906.SHF,83986.0
2019-04-11,SP1906.SHF,85510.0
2019-04-12,SP1906.SHF,81602.0
2019-04-15,SP1906.SHF,83324.0
2019-04-16,SP1906.SHF,86722.0
2019-04-17,SP1906.SHF,89640.0
2019-04-18,SP1906.SHF,84742.0
2019-04-19,SP1906.SHF,77130.0
2019-04-22,SP1906.SHF,73820.0
2019-04-23,SP1906.SHF,75668.0
2019-04-24,SP1906.SHF,70062.0
2019-04-25,SP1906.SHF,67464.0
2019-04-26,SP1906.SHF,59992.0
2019-04-29,SP1906.SHF,57666.0
2019-04-30,SP1909.SHF,52188.0
2019-05-06,SP1909.SHF,59062.0
2019-05-07,SP1909.SHF,61666.0
2019-05-08,SP1909.SHF,61556.0
2019-05-09,SP1909.SHF,66600.0
2019-05-10,SP1909.SHF,69808.0
2019-05-13,SP1909.SHF,81106.0
2019-05-14,SP1909.SHF,80356.0
2019-05-15,SP1909.SHF,82842.0
2019-05-16,SP1909.SHF,89542.0
2019-05-17,SP1909.SHF,106928.0
2019-05-20,SP1909.SHF,112980.0
2019-05-21,SP1909.SHF,114150.0
2019-05-22,SP1909.SHF,119096.0
2019-05-23,SP1909.SHF,122512.0
2019-05-24,SP1909.SHF,125454.0
2019-05-27,SP1909.SHF,126110.0
2019-05-28,SP1909.SHF,136322.0
2019-05-29,SP1909.SHF,148118.0
2019-05-30,SP1909.SHF,158982.0
2019-05-31,SP1909.SHF,167998.0
2019-06-03,SP1909.SHF,181726.0
2019-06-04,SP1909.SHF,176078.0
2019-06-05,SP1909.SHF,197878.0
2019-06-06,SP1909.SHF,188398.0
2019-06-10,SP1909.SHF,195468.0
2019-06-11,SP1909.SHF,191320.0
2019-06-12,SP1909.SHF,208168.0
2019-06-13,SP1909.SHF,215134.0
2019-06-14,SP1909.SHF,223322.0
2019-06-17,SP1909.SHF,232360.0
2019-06-18,SP1909.SHF,250586.0
2019-06-19,SP1909.SHF,282164.0
2019-06-20,SP1909.SHF,324238.0
2019-06-21,SP1909.SHF,334404.0
2019-06-24,SP1909.SHF,338956.0
2019-06-25,SP1909.SHF,334162.0
2019-06-26,SP1909.SHF,342026.0
2019-06-27,SP1909.SHF,345110.0
2019-06-28,SP1909.SHF,345720.0
2019-07-01,SP1909.SHF,342282.0
2019-07-02,SP1909.SHF,334326.0
2019-07-03,SP1909.SHF,314448.0
2019-07-04,SP1909.SHF,304560.0
2019-07-05,SP1909.SHF,281802.0
2019-07-08,SP1909.SHF,268520.0
2019-07-09,SP1909.SHF,253456.0
2019-07-10,SP1909.SHF,260356.0
2019-07-11,SP1909.SHF,253114.0
2019-07-12,SP1909.SHF,260144.0
