trade_time,stock,position
2013-07-15,SR501.CZC,12.0
2013-07-16,SR501.CZC,50.0
2013-07-17,SR501.CZC,62.0
2013-07-18,SR501.CZC,60.0
2013-07-19,SR501.CZC,74.0
2013-07-22,SR501.CZC,84.0
2013-07-23,SR501.CZC,92.0
2013-07-24,SR501.CZC,98.0
2013-07-25,SR501.CZC,160.0
2013-07-26,SR501.CZC,120.0
2013-07-29,SR501.CZC,192.0
2013-07-30,SR501.CZC,166.0
2013-07-31,SR501.CZC,268.0
2013-08-01,SR501.CZC,610.0
2013-08-02,SR501.CZC,820.0
2013-08-05,SR501.CZC,846.0
2013-08-06,SR501.CZC,930.0
2013-08-07,SR501.CZC,954.0
2013-08-08,SR501.CZC,948.0
2013-08-09,SR501.CZC,1054.0
2013-08-12,SR501.CZC,1096.0
2013-08-13,SR501.CZC,1024.0
2013-08-14,SR501.CZC,1096.0
2013-08-15,SR501.CZC,1128.0
2013-08-16,SR501.CZC,1216.0
2013-08-19,SR501.CZC,1782.0
2013-08-20,SR501.CZC,1782.0
2013-08-21,SR501.CZC,1844.0
2013-08-22,SR501.CZC,1902.0
2013-08-23,SR501.CZC,1998.0
2013-08-26,SR501.CZC,2054.0
2013-08-27,SR501.CZC,2328.0
2013-08-28,SR501.CZC,2684.0
2013-08-29,SR501.CZC,2786.0
2013-08-30,SR501.CZC,2962.0
2013-09-02,SR501.CZC,3056.0
2013-09-03,SR501.CZC,3012.0
2013-09-04,SR501.CZC,3194.0
2013-09-05,SR501.CZC,3348.0
2013-09-06,SR501.CZC,3312.0
2013-09-09,SR501.CZC,3594.0
2013-09-10,SR501.CZC,3514.0
2013-09-11,SR501.CZC,3494.0
2013-09-12,SR501.CZC,3610.0
2013-09-13,SR501.CZC,3836.0
2013-09-16,SR501.CZC,4180.0
2013-09-17,SR501.CZC,4580.0
2013-09-18,SR501.CZC,5014.0
2013-09-23,SR501.CZC,5522.0
2013-09-24,SR501.CZC,5558.0
2013-09-25,SR501.CZC,5508.0
2013-09-26,SR501.CZC,5502.0
2013-09-27,SR501.CZC,5370.0
2013-09-30,SR501.CZC,5500.0
2013-10-08,SR501.CZC,5516.0
2013-10-09,SR501.CZC,5738.0
2013-10-10,SR501.CZC,5606.0
2013-10-11,SR501.CZC,5512.0
2013-10-14,SR501.CZC,5620.0
2013-10-15,SR501.CZC,5678.0
2013-10-16,SR501.CZC,5992.0
2013-10-17,SR501.CZC,6740.0
2013-10-18,SR501.CZC,6824.0
2013-10-21,SR501.CZC,6272.0
2013-10-22,SR501.CZC,7222.0
2013-10-23,SR501.CZC,7944.0
2013-10-24,SR501.CZC,8240.0
2013-10-25,SR501.CZC,8326.0
2013-10-28,SR501.CZC,8272.0
2013-10-29,SR501.CZC,8556.0
2013-10-30,SR501.CZC,8912.0
2013-10-31,SR501.CZC,9564.0
2013-11-01,SR501.CZC,9336.0
2013-11-04,SR501.CZC,10482.0
2013-11-05,SR501.CZC,11716.0
2013-11-06,SR501.CZC,12106.0
2013-11-07,SR501.CZC,11996.0
2013-11-08,SR501.CZC,12068.0
2013-11-11,SR501.CZC,11832.0
2013-11-12,SR501.CZC,10978.0
2013-11-13,SR501.CZC,11176.0
2013-11-14,SR501.CZC,11136.0
2013-11-15,SR501.CZC,12640.0
2013-11-18,SR501.CZC,11490.0
2013-11-19,SR501.CZC,11936.0
2013-11-20,SR501.CZC,13098.0
2013-11-21,SR501.CZC,12878.0
2013-11-22,SR501.CZC,14540.0
2013-11-25,SR501.CZC,14772.0
2013-11-26,SR501.CZC,15300.0
2013-11-27,SR501.CZC,14610.0
2013-11-28,SR501.CZC,15186.0
2013-11-29,SR501.CZC,15280.0
2013-12-02,SR501.CZC,16254.0
2013-12-03,SR501.CZC,17188.0
2013-12-04,SR501.CZC,18230.0
2013-12-05,SR501.CZC,18712.0
2013-12-06,SR501.CZC,18824.0
2013-12-09,SR501.CZC,18838.0
2013-12-10,SR501.CZC,18550.0
2013-12-11,SR501.CZC,18492.0
