trade_time,stock,position
2015-03-20,T1509.CFE,817.0
2015-03-23,T1509.CFE,1682.0
2015-03-24,T1509.CFE,2102.0
2015-03-25,T1509.CFE,2484.0
2015-03-26,T1509.CFE,3014.0
2015-03-27,T1509.CFE,3577.0
2015-03-30,T1509.CFE,3869.0
2015-03-31,T1509.CFE,4666.0
2015-04-01,T1509.CFE,4551.0
2015-04-02,T1509.CFE,4613.0
2015-04-03,T1509.CFE,5095.0
2015-04-07,T1509.CFE,5425.0
2015-04-08,T1509.CFE,6620.0
2015-04-09,T1509.CFE,7335.0
2015-04-10,T1509.CFE,7739.0
2015-04-13,T1509.CFE,8872.0
2015-04-14,T1509.CFE,9475.0
2015-04-15,T1509.CFE,9687.0
2015-04-16,T1509.CFE,10198.0
2015-04-17,T1509.CFE,10810.0
2015-04-20,T1509.CFE,11137.0
2015-04-21,T1509.CFE,12128.0
2015-04-22,T1509.CFE,12669.0
2015-04-23,T1509.CFE,13218.0
2015-04-24,T1509.CFE,13506.0
2015-04-27,T1509.CFE,14681.0
2015-04-28,T1509.CFE,15058.0
2015-04-29,T1509.CFE,16039.0
2015-04-30,T1509.CFE,17454.0
2015-05-04,T1509.CFE,17952.0
2015-05-05,T1509.CFE,19543.0
2015-05-06,T1509.CFE,21544.0
2015-05-07,T1509.CFE,22735.0
2015-05-08,T1509.CFE,23303.0
2015-05-11,T1509.CFE,23226.0
2015-05-12,T1509.CFE,23315.0
2015-05-13,T1509.CFE,24375.0
2015-05-14,T1509.CFE,25138.0
2015-05-15,T1509.CFE,25022.0
2015-05-18,T1509.CFE,25123.0
2015-05-19,T1509.CFE,25012.0
2015-05-20,T1509.CFE,25631.0
2015-05-21,T1509.CFE,25389.0
2015-05-22,T1509.CFE,25892.0
2015-05-25,T1509.CFE,26330.0
2015-05-26,T1509.CFE,25666.0
2015-05-27,T1509.CFE,25739.0
2015-05-28,T1509.CFE,25520.0
2015-05-29,T1509.CFE,24946.0
2015-06-01,T1509.CFE,22577.0
2015-06-02,T1509.CFE,22162.0
2015-06-03,T1509.CFE,22179.0
2015-06-04,T1509.CFE,22014.0
2015-06-05,T1509.CFE,22584.0
2015-06-08,T1509.CFE,23195.0
2015-06-09,T1509.CFE,22881.0
2015-06-10,T1509.CFE,22457.0
2015-06-11,T1509.CFE,22492.0
2015-06-12,T1509.CFE,21143.0
2015-06-15,T1509.CFE,20498.0
2015-06-16,T1509.CFE,21356.0
2015-06-17,T1509.CFE,21289.0
2015-06-18,T1509.CFE,21246.0
2015-06-19,T1509.CFE,21107.0
2015-06-23,T1509.CFE,21142.0
2015-06-24,T1509.CFE,21010.0
2015-06-25,T1509.CFE,20402.0
2015-06-26,T1509.CFE,19805.0
2015-06-29,T1509.CFE,18480.0
2015-06-30,T1509.CFE,18209.0
2015-07-01,T1509.CFE,18103.0
2015-07-02,T1509.CFE,17969.0
2015-07-03,T1509.CFE,18851.0
2015-07-06,T1509.CFE,19690.0
2015-07-07,T1509.CFE,19465.0
2015-07-08,T1509.CFE,18139.0
2015-07-09,T1509.CFE,17427.0
2015-07-10,T1509.CFE,17428.0
2015-07-13,T1509.CFE,17861.0
2015-07-14,T1509.CFE,18158.0
2015-07-15,T1509.CFE,19208.0
2015-07-16,T1509.CFE,19842.0
2015-07-17,T1509.CFE,19896.0
2015-07-20,T1509.CFE,20025.0
2015-07-21,T1509.CFE,19369.0
2015-07-22,T1509.CFE,19343.0
2015-07-23,T1509.CFE,19331.0
2015-07-24,T1509.CFE,18927.0
2015-07-27,T1509.CFE,18672.0
2015-07-28,T1509.CFE,18066.0
2015-07-29,T1509.CFE,18072.0
2015-07-30,T1509.CFE,17760.0
2015-07-31,T1509.CFE,17400.0
2015-08-03,T1509.CFE,15898.0
2015-08-04,T1509.CFE,15646.0
2015-08-05,T1509.CFE,15258.0
2015-08-06,T1509.CFE,14831.0
2015-08-07,T1509.CFE,14093.0
2015-08-10,T1509.CFE,12881.0
