trade_time,stock,position
2014-01-16,TA501.CZC,4.0
2014-01-17,TA501.CZC,46.0
2014-01-20,TA501.CZC,80.0
2014-01-21,TA501.CZC,202.0
2014-01-22,TA501.CZC,218.0
2014-01-23,TA501.CZC,284.0
2014-01-24,TA501.CZC,646.0
2014-01-27,TA501.CZC,632.0
2014-01-28,TA501.CZC,642.0
2014-01-29,TA501.CZC,718.0
2014-01-30,TA501.CZC,716.0
2014-02-07,TA501.CZC,954.0
2014-02-10,TA501.CZC,1558.0
2014-02-11,TA501.CZC,1670.0
2014-02-12,TA501.CZC,1876.0
2014-02-13,TA501.CZC,2078.0
2014-02-14,TA501.CZC,2486.0
2014-02-17,TA501.CZC,2536.0
2014-02-18,TA501.CZC,2730.0
2014-02-19,TA501.CZC,3248.0
2014-02-20,TA501.CZC,3634.0
2014-02-21,TA501.CZC,4176.0
2014-02-24,TA501.CZC,5310.0
2014-02-25,TA501.CZC,7812.0
2014-02-26,TA501.CZC,9034.0
2014-02-27,TA501.CZC,10898.0
2014-02-28,TA501.CZC,11324.0
2014-03-03,TA501.CZC,13804.0
2014-03-04,TA501.CZC,13982.0
2014-03-05,TA501.CZC,16346.0
2014-03-06,TA501.CZC,16250.0
2014-03-07,TA501.CZC,17294.0
2014-03-10,TA501.CZC,19856.0
2014-03-11,TA501.CZC,19114.0
2014-03-12,TA501.CZC,19932.0
2014-03-13,TA501.CZC,20330.0
2014-03-14,TA501.CZC,28010.0
2014-03-17,TA501.CZC,26450.0
2014-03-18,TA501.CZC,27906.0
2014-03-19,TA501.CZC,26698.0
2014-03-20,TA501.CZC,26640.0
2014-03-21,TA501.CZC,25826.0
2014-03-24,TA501.CZC,24518.0
2014-03-25,TA501.CZC,24086.0
2014-03-26,TA501.CZC,24052.0
2014-03-27,TA501.CZC,24646.0
2014-03-28,TA501.CZC,24368.0
2014-03-31,TA501.CZC,24442.0
2014-04-01,TA501.CZC,25750.0
2014-04-02,TA501.CZC,25762.0
2014-04-03,TA501.CZC,26294.0
2014-04-04,TA501.CZC,26718.0
2014-04-08,TA501.CZC,32828.0
2014-04-09,TA501.CZC,36554.0
2014-04-10,TA501.CZC,38440.0
2014-04-11,TA501.CZC,41380.0
2014-04-14,TA501.CZC,42940.0
2014-04-15,TA501.CZC,44524.0
2014-04-16,TA501.CZC,46334.0
2014-04-17,TA501.CZC,47374.0
2014-04-18,TA501.CZC,48994.0
2014-04-21,TA501.CZC,47994.0
2014-04-22,TA501.CZC,54794.0
2014-04-23,TA501.CZC,56206.0
2014-04-24,TA501.CZC,56284.0
