trade_time,stock,position
2013-12-17,TF1409.CFE,16.0
2013-12-18,TF1409.CFE,14.0
2013-12-19,TF1409.CFE,21.0
2013-12-20,TF1409.CFE,22.0
2013-12-23,TF1409.CFE,22.0
2013-12-24,TF1409.CFE,23.0
2013-12-25,TF1409.CFE,23.0
2013-12-26,TF1409.CFE,23.0
2013-12-27,TF1409.CFE,23.0
2013-12-30,TF1409.CFE,27.0
2013-12-31,TF1409.CFE,29.0
2014-01-02,TF1409.CFE,30.0
2014-01-03,TF1409.CFE,31.0
2014-01-06,TF1409.CFE,37.0
2014-01-07,TF1409.CFE,36.0
2014-01-08,TF1409.CFE,39.0
2014-01-09,TF1409.CFE,48.0
2014-01-10,TF1409.CFE,59.0
2014-01-13,TF1409.CFE,59.0
2014-01-14,TF1409.CFE,59.0
2014-01-15,TF1409.CFE,71.0
2014-01-16,TF1409.CFE,71.0
2014-01-17,TF1409.CFE,72.0
2014-01-20,TF1409.CFE,74.0
2014-01-21,TF1409.CFE,84.0
2014-01-22,TF1409.CFE,89.0
2014-01-23,TF1409.CFE,88.0
2014-01-24,TF1409.CFE,90.0
2014-01-27,TF1409.CFE,94.0
2014-01-28,TF1409.CFE,93.0
2014-01-29,TF1409.CFE,100.0
2014-01-30,TF1409.CFE,98.0
2014-02-07,TF1409.CFE,101.0
2014-02-10,TF1409.CFE,102.0
2014-02-11,TF1409.CFE,107.0
2014-02-12,TF1409.CFE,112.0
2014-02-13,TF1409.CFE,113.0
2014-02-14,TF1409.CFE,116.0
2014-02-17,TF1409.CFE,115.0
2014-02-18,TF1409.CFE,122.0
2014-02-19,TF1409.CFE,130.0
2014-02-20,TF1409.CFE,135.0
2014-02-21,TF1409.CFE,137.0
2014-02-24,TF1409.CFE,154.0
2014-02-25,TF1409.CFE,180.0
2014-02-26,TF1409.CFE,177.0
2014-02-27,TF1409.CFE,196.0
2014-02-28,TF1409.CFE,200.0
2014-03-03,TF1409.CFE,202.0
2014-03-04,TF1409.CFE,191.0
2014-03-05,TF1409.CFE,205.0
2014-03-06,TF1409.CFE,225.0
2014-03-07,TF1409.CFE,232.0
2014-03-10,TF1409.CFE,232.0
2014-03-11,TF1409.CFE,226.0
2014-03-12,TF1409.CFE,222.0
2014-03-13,TF1409.CFE,234.0
2014-03-14,TF1409.CFE,241.0
2014-03-17,TF1409.CFE,243.0
2014-03-18,TF1409.CFE,233.0
2014-03-19,TF1409.CFE,244.0
2014-03-20,TF1409.CFE,244.0
2014-03-21,TF1409.CFE,247.0
2014-03-24,TF1409.CFE,250.0
2014-03-25,TF1409.CFE,250.0
2014-03-26,TF1409.CFE,245.0
2014-03-27,TF1409.CFE,241.0
2014-03-28,TF1409.CFE,239.0
2014-03-31,TF1409.CFE,238.0
2014-04-01,TF1409.CFE,236.0
2014-04-02,TF1409.CFE,255.0
2014-04-03,TF1409.CFE,248.0
2014-04-04,TF1409.CFE,255.0
2014-04-08,TF1409.CFE,252.0
2014-04-09,TF1409.CFE,253.0
2014-04-10,TF1409.CFE,265.0
2014-04-11,TF1409.CFE,275.0
2014-04-14,TF1409.CFE,299.0
2014-04-15,TF1409.CFE,315.0
2014-04-16,TF1409.CFE,283.0
2014-04-17,TF1409.CFE,365.0
2014-04-18,TF1409.CFE,402.0
2014-04-21,TF1409.CFE,425.0
2014-04-22,TF1409.CFE,413.0
2014-04-23,TF1409.CFE,416.0
2014-04-24,TF1409.CFE,410.0
2014-04-25,TF1409.CFE,414.0
2014-04-28,TF1409.CFE,432.0
2014-04-29,TF1409.CFE,443.0
2014-04-30,TF1409.CFE,489.0
2014-05-05,TF1409.CFE,494.0
2014-05-06,TF1409.CFE,560.0
2014-05-07,TF1409.CFE,694.0
2014-05-08,TF1409.CFE,843.0
2014-05-09,TF1409.CFE,1368.0
2014-05-12,TF1409.CFE,1534.0
2014-05-13,TF1409.CFE,1730.0
2014-05-14,TF1409.CFE,2140.0
2014-05-15,TF1409.CFE,2285.0
2014-05-16,TF1409.CFE,2529.0
2014-05-19,TF1409.CFE,3022.0
2014-05-20,TF1409.CFE,3619.0
2014-05-21,TF1409.CFE,4135.0
2014-05-22,TF1409.CFE,4613.0
2014-05-23,TF1409.CFE,4721.0
2014-05-26,TF1409.CFE,4865.0
2014-05-27,TF1409.CFE,5246.0
2014-05-28,TF1409.CFE,6320.0
2014-05-29,TF1409.CFE,6353.0
2014-05-30,TF1409.CFE,7075.0
2014-06-03,TF1409.CFE,7132.0
2014-06-04,TF1409.CFE,7886.0
2014-06-05,TF1409.CFE,6949.0
2014-06-06,TF1409.CFE,6956.0
2014-06-09,TF1409.CFE,7307.0
2014-06-10,TF1409.CFE,7464.0
2014-06-11,TF1409.CFE,7477.0
2014-06-12,TF1409.CFE,7273.0
2014-06-13,TF1409.CFE,7262.0
2014-06-16,TF1409.CFE,7647.0
2014-06-17,TF1409.CFE,7299.0
2014-06-18,TF1409.CFE,7347.0
2014-06-19,TF1409.CFE,7310.0
2014-06-20,TF1409.CFE,7188.0
2014-06-23,TF1409.CFE,7231.0
2014-06-24,TF1409.CFE,7249.0
2014-06-25,TF1409.CFE,7307.0
2014-06-26,TF1409.CFE,7339.0
2014-06-27,TF1409.CFE,7396.0
2014-06-30,TF1409.CFE,7444.0
2014-07-01,TF1409.CFE,7490.0
2014-07-02,TF1409.CFE,7494.0
2014-07-03,TF1409.CFE,7327.0
2014-07-04,TF1409.CFE,7447.0
2014-07-07,TF1409.CFE,7372.0
2014-07-08,TF1409.CFE,7539.0
2014-07-09,TF1409.CFE,7525.0
2014-07-10,TF1409.CFE,7538.0
2014-07-11,TF1409.CFE,7580.0
2014-07-14,TF1409.CFE,7506.0
2014-07-15,TF1409.CFE,7319.0
2014-07-16,TF1409.CFE,7441.0
2014-07-17,TF1409.CFE,7773.0
2014-07-18,TF1409.CFE,7614.0
2014-07-21,TF1409.CFE,7495.0
2014-07-22,TF1409.CFE,7313.0
2014-07-23,TF1409.CFE,7178.0
2014-07-24,TF1409.CFE,6845.0
2014-07-25,TF1409.CFE,6979.0
2014-07-28,TF1409.CFE,6863.0
2014-07-29,TF1409.CFE,6751.0
2014-07-30,TF1409.CFE,7083.0
2014-07-31,TF1409.CFE,6992.0
2014-08-01,TF1409.CFE,6830.0
2014-08-04,TF1409.CFE,6680.0
2014-08-05,TF1409.CFE,6618.0
2014-08-06,TF1409.CFE,6424.0
2014-08-07,TF1409.CFE,6244.0
2014-08-08,TF1409.CFE,6054.0
2014-08-11,TF1409.CFE,5413.0
2014-08-12,TF1409.CFE,4993.0
2014-08-13,TF1412.CFE,4842.0
2014-08-14,TF1412.CFE,5655.0
2014-08-15,TF1412.CFE,6642.0
2014-08-18,TF1412.CFE,7169.0
2014-08-19,TF1412.CFE,6998.0
2014-08-20,TF1412.CFE,7416.0
2014-08-21,TF1412.CFE,7921.0
2014-08-22,TF1412.CFE,7959.0
2014-08-25,TF1412.CFE,7927.0
2014-08-26,TF1412.CFE,8410.0
2014-08-27,TF1412.CFE,8874.0
2014-08-28,TF1412.CFE,8562.0
2014-08-29,TF1412.CFE,8717.0
2014-09-01,TF1412.CFE,8834.0
2014-09-02,TF1412.CFE,8692.0
2014-09-03,TF1412.CFE,8919.0
2014-09-04,TF1412.CFE,9141.0
2014-09-05,TF1412.CFE,9626.0
2014-09-09,TF1412.CFE,10156.0
2014-09-10,TF1412.CFE,10338.0
2014-09-11,TF1412.CFE,10390.0
2014-09-12,TF1412.CFE,10453.0
2014-09-15,TF1412.CFE,10704.0
2014-09-16,TF1412.CFE,10912.0
2014-09-17,TF1412.CFE,9860.0
2014-09-18,TF1412.CFE,11003.0
2014-09-19,TF1412.CFE,11386.0
2014-09-22,TF1412.CFE,11601.0
2014-09-23,TF1412.CFE,10675.0
2014-09-24,TF1412.CFE,10719.0
2014-09-25,TF1412.CFE,10670.0
2014-09-26,TF1412.CFE,10284.0
2014-09-29,TF1412.CFE,10093.0
2014-09-30,TF1412.CFE,10108.0
2014-10-08,TF1412.CFE,10031.0
2014-10-09,TF1412.CFE,10025.0
2014-10-10,TF1412.CFE,10015.0
2014-10-13,TF1412.CFE,10260.0
2014-10-14,TF1412.CFE,10537.0
2014-10-15,TF1412.CFE,10459.0
2014-10-16,TF1412.CFE,10607.0
2014-10-17,TF1412.CFE,10745.0
2014-10-20,TF1412.CFE,10914.0
2014-10-21,TF1412.CFE,10577.0
2014-10-22,TF1412.CFE,10714.0
2014-10-23,TF1412.CFE,10727.0
2014-10-24,TF1412.CFE,10617.0
2014-10-27,TF1412.CFE,10301.0
2014-10-28,TF1412.CFE,10505.0
2014-10-29,TF1412.CFE,10167.0
2014-10-30,TF1412.CFE,8806.0
2014-10-31,TF1412.CFE,8178.0
2014-11-03,TF1412.CFE,7057.0
2014-11-04,TF1503.CFE,8410.0
2014-11-05,TF1503.CFE,10240.0
2014-11-06,TF1503.CFE,11482.0
2014-11-07,TF1503.CFE,12561.0
2014-11-10,TF1503.CFE,13257.0
2014-11-11,TF1503.CFE,13693.0
