trade_time,stock,position
2013-10-09,V1409.DCE,4.0
2013-10-10,V1409.DCE,4.0
2013-10-11,V1409.DCE,6.0
2013-10-14,V1409.DCE,4.0
2013-10-15,V1409.DCE,4.0
2013-10-16,V1409.DCE,4.0
2013-10-17,V1409.DCE,4.0
2013-10-18,V1409.DCE,4.0
2013-10-21,V1409.DCE,4.0
2013-10-22,V1409.DCE,4.0
2013-10-23,V1409.DCE,4.0
2013-10-24,V1409.DCE,16.0
2013-10-25,V1409.DCE,28.0
2013-10-28,V1409.DCE,44.0
2013-10-29,V1409.DCE,50.0
2013-10-30,V1409.DCE,62.0
2013-10-31,V1409.DCE,112.0
2013-11-01,V1409.DCE,114.0
2013-11-04,V1409.DCE,126.0
2013-11-05,V1409.DCE,124.0
2013-11-06,V1409.DCE,134.0
2013-11-07,V1409.DCE,136.0
2013-11-08,V1409.DCE,138.0
2013-11-11,V1409.DCE,136.0
2013-11-12,V1409.DCE,134.0
2013-11-13,V1409.DCE,134.0
2013-11-14,V1409.DCE,138.0
2013-11-15,V1409.DCE,144.0
2013-11-18,V1409.DCE,144.0
2013-11-19,V1409.DCE,152.0
2013-11-20,V1409.DCE,152.0
2013-11-21,V1409.DCE,154.0
2013-11-22,V1409.DCE,152.0
2013-11-25,V1409.DCE,158.0
2013-11-26,V1409.DCE,188.0
2013-11-27,V1409.DCE,216.0
2013-11-28,V1409.DCE,212.0
2013-11-29,V1409.DCE,218.0
2013-12-02,V1409.DCE,374.0
2013-12-03,V1409.DCE,368.0
2013-12-04,V1409.DCE,378.0
2013-12-05,V1409.DCE,370.0
2013-12-06,V1409.DCE,376.0
2013-12-09,V1409.DCE,380.0
2013-12-10,V1409.DCE,376.0
2013-12-11,V1409.DCE,362.0
2013-12-12,V1409.DCE,382.0
2013-12-13,V1409.DCE,500.0
2013-12-16,V1409.DCE,550.0
2013-12-17,V1409.DCE,560.0
2013-12-18,V1409.DCE,576.0
2013-12-19,V1409.DCE,964.0
2013-12-20,V1409.DCE,1088.0
2013-12-23,V1409.DCE,1094.0
2013-12-24,V1409.DCE,1098.0
2013-12-25,V1409.DCE,1188.0
2013-12-26,V1409.DCE,1468.0
2013-12-27,V1409.DCE,1464.0
2013-12-30,V1409.DCE,1508.0
2013-12-31,V1409.DCE,1456.0
2014-01-02,V1409.DCE,1914.0
2014-01-03,V1409.DCE,2134.0
2014-01-06,V1409.DCE,2602.0
2014-01-07,V1409.DCE,2724.0
2014-01-08,V1409.DCE,2958.0
2014-01-09,V1409.DCE,3094.0
2014-01-10,V1409.DCE,3114.0
2014-01-13,V1409.DCE,3020.0
2014-01-14,V1409.DCE,3056.0
2014-01-15,V1409.DCE,3058.0
2014-01-16,V1409.DCE,3102.0
2014-01-17,V1409.DCE,3118.0
2014-01-20,V1409.DCE,3192.0
2014-01-21,V1409.DCE,3204.0
2014-01-22,V1409.DCE,3260.0
2014-01-23,V1409.DCE,3972.0
2014-01-24,V1409.DCE,4004.0
2014-01-27,V1409.DCE,4048.0
2014-01-28,V1409.DCE,4070.0
2014-01-29,V1409.DCE,4084.0
2014-01-30,V1409.DCE,4272.0
2014-02-07,V1409.DCE,4624.0
2014-02-10,V1409.DCE,5436.0
2014-02-11,V1409.DCE,5880.0
2014-02-12,V1409.DCE,5906.0
2014-02-13,V1409.DCE,6134.0
2014-02-14,V1409.DCE,6214.0
2014-02-17,V1409.DCE,6496.0
2014-02-18,V1409.DCE,6546.0
2014-02-19,V1409.DCE,6504.0
2014-02-20,V1409.DCE,6632.0
2014-02-21,V1409.DCE,6922.0
2014-02-24,V1409.DCE,7652.0
2014-02-25,V1409.DCE,8012.0
2014-02-26,V1409.DCE,8014.0
2014-02-27,V1409.DCE,8642.0
2014-02-28,V1409.DCE,9432.0
2014-03-03,V1409.DCE,10932.0
2014-03-04,V1409.DCE,11322.0
2014-03-05,V1409.DCE,11670.0
2014-03-06,V1409.DCE,12588.0
2014-03-07,V1409.DCE,13226.0
2014-03-10,V1409.DCE,12958.0
2014-03-11,V1409.DCE,13738.0
2014-03-12,V1409.DCE,14060.0
2014-03-13,V1409.DCE,14228.0
2014-03-14,V1409.DCE,14898.0
2014-03-17,V1409.DCE,14774.0
2014-03-18,V1409.DCE,14974.0
2014-03-19,V1409.DCE,17344.0
2014-03-20,V1409.DCE,17062.0
2014-03-21,V1409.DCE,18160.0
2014-03-24,V1409.DCE,18788.0
2014-03-25,V1409.DCE,19528.0
2014-03-26,V1409.DCE,20886.0
2014-03-27,V1409.DCE,21874.0
2014-03-28,V1409.DCE,22426.0
2014-03-31,V1409.DCE,22416.0
2014-04-01,V1409.DCE,22432.0
2014-04-02,V1409.DCE,23912.0
2014-04-03,V1409.DCE,24582.0
2014-04-04,V1409.DCE,25782.0
2014-04-08,V1409.DCE,26878.0
2014-04-09,V1409.DCE,28228.0
2014-04-10,V1409.DCE,28320.0
2014-04-11,V1409.DCE,29640.0
2014-04-14,V1409.DCE,29970.0
2014-04-15,V1409.DCE,31190.0
2014-04-16,V1409.DCE,30078.0
2014-04-17,V1409.DCE,30562.0
2014-04-18,V1409.DCE,30128.0
2014-04-21,V1409.DCE,30378.0
2014-04-22,V1409.DCE,30256.0
2014-04-23,V1409.DCE,30314.0
2014-04-24,V1409.DCE,29302.0
2014-04-25,V1409.DCE,28636.0
2014-04-28,V1409.DCE,31768.0
2014-04-29,V1409.DCE,32596.0
2014-04-30,V1409.DCE,30694.0
2014-05-05,V1409.DCE,30234.0
2014-05-06,V1409.DCE,31698.0
2014-05-07,V1409.DCE,31814.0
2014-05-08,V1409.DCE,33274.0
2014-05-09,V1409.DCE,32304.0
2014-05-12,V1409.DCE,32832.0
2014-05-13,V1409.DCE,31884.0
2014-05-14,V1409.DCE,31128.0
2014-05-15,V1409.DCE,30212.0
2014-05-16,V1409.DCE,29830.0
2014-05-19,V1409.DCE,30832.0
2014-05-20,V1409.DCE,32366.0
2014-05-21,V1409.DCE,30932.0
2014-05-22,V1409.DCE,31288.0
2014-05-23,V1409.DCE,30388.0
2014-05-26,V1409.DCE,28504.0
2014-05-27,V1409.DCE,27838.0
2014-05-28,V1409.DCE,27498.0
2014-05-29,V1409.DCE,28552.0
2014-05-30,V1409.DCE,27708.0
2014-06-03,V1409.DCE,26388.0
2014-06-04,V1409.DCE,25706.0
2014-06-05,V1409.DCE,25416.0
2014-06-06,V1409.DCE,28910.0
2014-06-09,V1409.DCE,34780.0
2014-06-10,V1409.DCE,33466.0
2014-06-11,V1409.DCE,35442.0
2014-06-12,V1409.DCE,36024.0
2014-06-13,V1409.DCE,29826.0
2014-06-16,V1409.DCE,28170.0
2014-06-17,V1409.DCE,30210.0
2014-06-18,V1409.DCE,30256.0
2014-06-19,V1409.DCE,29706.0
2014-06-20,V1409.DCE,28698.0
2014-06-23,V1409.DCE,26162.0
2014-06-24,V1409.DCE,28060.0
2014-06-25,V1409.DCE,27614.0
2014-06-26,V1409.DCE,29370.0
2014-06-27,V1409.DCE,28636.0
2014-06-30,V1409.DCE,27928.0
2014-07-01,V1409.DCE,26162.0
2014-07-02,V1409.DCE,24546.0
2014-07-03,V1409.DCE,24902.0
2014-07-04,V1409.DCE,25546.0
2014-07-07,V1409.DCE,23730.0
2014-07-08,V1409.DCE,23438.0
2014-07-09,V1409.DCE,23144.0
2014-07-10,V1409.DCE,22714.0
2014-07-11,V1409.DCE,22164.0
2014-07-14,V1409.DCE,21758.0
2014-07-15,V1409.DCE,22072.0
2014-07-16,V1409.DCE,22638.0
2014-07-17,V1409.DCE,24326.0
2014-07-18,V1409.DCE,23720.0
2014-07-21,V1409.DCE,23268.0
2014-07-22,V1409.DCE,21416.0
2014-07-23,V1409.DCE,21828.0
2014-07-24,V1409.DCE,21534.0
2014-07-25,V1409.DCE,20748.0
2014-07-28,V1409.DCE,19734.0
2014-07-29,V1409.DCE,17298.0
2014-07-30,V1409.DCE,17198.0
2014-07-31,V1409.DCE,16572.0
2014-08-01,V1409.DCE,16182.0
2014-08-04,V1501.DCE,16034.0
2014-08-05,V1501.DCE,17842.0
2014-08-06,V1501.DCE,18712.0
2014-08-07,V1501.DCE,19184.0
2014-08-08,V1501.DCE,19944.0
2014-08-11,V1501.DCE,20360.0
2014-08-12,V1501.DCE,21122.0
2014-08-13,V1501.DCE,21444.0
2014-08-14,V1501.DCE,22344.0
2014-08-15,V1501.DCE,22594.0
2014-08-18,V1501.DCE,22826.0
2014-08-19,V1501.DCE,22376.0
2014-08-20,V1501.DCE,22652.0
2014-08-21,V1501.DCE,22244.0
2014-08-22,V1501.DCE,22276.0
2014-08-25,V1501.DCE,22014.0
2014-08-26,V1501.DCE,22136.0
2014-08-27,V1501.DCE,22070.0
2014-08-28,V1501.DCE,22348.0
2014-08-29,V1501.DCE,21776.0
2014-09-01,V1501.DCE,20570.0
2014-09-02,V1501.DCE,19424.0
2014-09-03,V1501.DCE,20382.0
2014-09-04,V1501.DCE,20034.0
2014-09-05,V1501.DCE,20390.0
2014-09-09,V1501.DCE,20812.0
2014-09-10,V1501.DCE,21314.0
2014-09-11,V1501.DCE,21322.0
2014-09-12,V1501.DCE,22006.0
2014-09-15,V1501.DCE,22714.0
2014-09-16,V1501.DCE,26414.0
2014-09-17,V1501.DCE,26648.0
2014-09-18,V1501.DCE,28126.0
2014-09-19,V1501.DCE,29820.0
2014-09-22,V1501.DCE,30154.0
2014-09-23,V1501.DCE,28860.0
2014-09-24,V1501.DCE,29086.0
2014-09-25,V1501.DCE,28658.0
2014-09-26,V1501.DCE,26970.0
2014-09-29,V1501.DCE,24744.0
2014-09-30,V1501.DCE,23834.0
2014-10-08,V1501.DCE,27738.0
2014-10-09,V1501.DCE,28080.0
2014-10-10,V1501.DCE,32800.0
2014-10-13,V1501.DCE,30898.0
2014-10-14,V1501.DCE,28976.0
2014-10-15,V1501.DCE,29648.0
2014-10-16,V1501.DCE,29988.0
2014-10-17,V1501.DCE,26638.0
2014-10-20,V1501.DCE,33386.0
2014-10-21,V1501.DCE,49566.0
2014-10-22,V1501.DCE,66602.0
2014-10-23,V1501.DCE,111576.0
2014-10-24,V1501.DCE,84662.0
2014-10-27,V1501.DCE,51052.0
2014-10-28,V1501.DCE,43274.0
2014-10-29,V1501.DCE,33196.0
2014-10-30,V1501.DCE,29060.0
2014-10-31,V1505.DCE,27924.0
2014-11-03,V1505.DCE,28904.0
2014-11-04,V1505.DCE,29636.0
2014-11-05,V1505.DCE,29908.0
2014-11-06,V1505.DCE,29536.0
2014-11-07,V1505.DCE,30116.0
2014-11-10,V1505.DCE,29202.0
2014-11-11,V1505.DCE,30048.0
2014-11-12,V1505.DCE,30178.0
2014-11-13,V1505.DCE,30768.0
2014-11-14,V1505.DCE,31518.0
2014-11-17,V1505.DCE,32028.0
2014-11-18,V1505.DCE,32524.0
2014-11-19,V1505.DCE,32298.0
2014-11-20,V1505.DCE,33206.0
2014-11-21,V1505.DCE,35268.0
2014-11-24,V1505.DCE,34836.0
2014-11-25,V1505.DCE,36944.0
2014-11-26,V1505.DCE,36554.0
2014-11-27,V1505.DCE,36240.0
2014-11-28,V1505.DCE,36810.0
2014-12-01,V1505.DCE,42148.0
2014-12-02,V1505.DCE,38160.0
