trade_time,stock,position
2014-09-16,WH509.CZC,14.0
2014-09-17,WH509.CZC,14.0
2014-09-18,WH509.CZC,14.0
2014-09-19,WH509.CZC,14.0
2014-09-22,WH509.CZC,14.0
2014-09-23,WH509.CZC,14.0
2014-09-24,WH509.CZC,12.0
2014-09-25,WH509.CZC,12.0
2014-09-26,WH509.CZC,12.0
2014-09-29,WH509.CZC,12.0
2014-09-30,WH509.CZC,12.0
2014-10-08,WH509.CZC,8.0
2014-10-09,WH509.CZC,8.0
2014-10-10,WH509.CZC,8.0
2014-10-13,WH509.CZC,10.0
2014-10-14,WH509.CZC,10.0
2014-10-15,WH509.CZC,10.0
2014-10-16,WH509.CZC,12.0
2014-10-17,WH509.CZC,12.0
2014-10-20,WH509.CZC,12.0
2014-10-21,WH509.CZC,12.0
2014-10-22,WH509.CZC,16.0
2014-10-23,WH509.CZC,16.0
2014-10-24,WH509.CZC,16.0
2014-10-27,WH509.CZC,16.0
2014-10-28,WH509.CZC,16.0
2014-10-29,WH509.CZC,16.0
2014-10-30,WH509.CZC,18.0
2014-10-31,WH509.CZC,18.0
2014-11-03,WH509.CZC,52.0
2014-11-04,WH509.CZC,56.0
2014-11-05,WH509.CZC,56.0
2014-11-06,WH509.CZC,60.0
2014-11-07,WH509.CZC,58.0
2014-11-10,WH509.CZC,58.0
2014-11-11,WH509.CZC,58.0
2014-11-12,WH509.CZC,42.0
2014-11-13,WH509.CZC,38.0
2014-11-14,WH509.CZC,38.0
2014-11-17,WH509.CZC,34.0
2014-11-18,WH509.CZC,34.0
2014-11-19,WH509.CZC,30.0
2014-11-20,WH509.CZC,28.0
2014-11-21,WH509.CZC,28.0
2014-11-24,WH509.CZC,28.0
2014-11-25,WH509.CZC,28.0
2014-11-26,WH509.CZC,30.0
2014-11-27,WH509.CZC,30.0
2014-11-28,WH509.CZC,28.0
2014-12-01,WH509.CZC,28.0
2014-12-02,WH509.CZC,28.0
2014-12-03,WH509.CZC,28.0
2014-12-04,WH509.CZC,28.0
2014-12-05,WH509.CZC,28.0
2014-12-08,WH509.CZC,28.0
2014-12-09,WH509.CZC,28.0
2014-12-10,WH509.CZC,28.0
2014-12-11,WH509.CZC,30.0
2014-12-12,WH509.CZC,30.0
2014-12-15,WH509.CZC,32.0
2014-12-16,WH509.CZC,32.0
2014-12-17,WH509.CZC,32.0
2014-12-18,WH509.CZC,32.0
2014-12-19,WH509.CZC,32.0
2014-12-22,WH509.CZC,32.0
2014-12-23,WH509.CZC,32.0
2014-12-24,WH509.CZC,34.0
2014-12-25,WH509.CZC,32.0
2014-12-26,WH509.CZC,32.0
2014-12-29,WH509.CZC,36.0
