trade_time,stock,position
2013-08-12,Y1407.DCE,2.0
2013-08-13,Y1407.DCE,2.0
2013-08-14,Y1407.DCE,2.0
2013-08-15,Y1407.DCE,2.0
2013-08-16,Y1407.DCE,4.0
2013-08-19,Y1407.DCE,4.0
2013-08-20,Y1407.DCE,4.0
2013-08-21,Y1407.DCE,6.0
2013-08-22,Y1407.DCE,6.0
2013-08-23,Y1407.DCE,10.0
2013-08-26,Y1408.DCE,26.0
2013-08-27,Y1408.DCE,34.0
2013-08-28,Y1408.DCE,32.0
2013-08-29,Y1408.DCE,34.0
2013-08-30,Y1408.DCE,32.0
2013-09-02,Y1408.DCE,32.0
2013-09-03,Y1408.DCE,32.0
2013-09-04,Y1408.DCE,32.0
2013-09-05,Y1408.DCE,32.0
2013-09-06,Y1408.DCE,32.0
2013-09-09,Y1408.DCE,34.0
2013-09-10,Y1408.DCE,32.0
2013-09-11,Y1408.DCE,32.0
2013-09-12,Y1408.DCE,32.0
2013-09-13,Y1408.DCE,34.0
2013-09-16,Y1409.DCE,2180.0
2013-09-17,Y1409.DCE,2688.0
2013-09-18,Y1409.DCE,2908.0
2013-09-23,Y1409.DCE,3460.0
2013-09-24,Y1409.DCE,4548.0
2013-09-25,Y1409.DCE,5052.0
2013-09-26,Y1409.DCE,4850.0
2013-09-27,Y1409.DCE,4816.0
2013-09-30,Y1409.DCE,5722.0
2013-10-08,Y1409.DCE,7894.0
2013-10-09,Y1409.DCE,14532.0
2013-10-10,Y1409.DCE,18866.0
2013-10-11,Y1409.DCE,19296.0
2013-10-14,Y1409.DCE,29010.0
2013-10-15,Y1409.DCE,33028.0
2013-10-16,Y1409.DCE,37012.0
2013-10-17,Y1409.DCE,42892.0
2013-10-18,Y1409.DCE,47148.0
2013-10-21,Y1409.DCE,53838.0
2013-10-22,Y1409.DCE,60408.0
2013-10-23,Y1409.DCE,66348.0
2013-10-24,Y1409.DCE,68794.0
2013-10-25,Y1409.DCE,69062.0
2013-10-28,Y1409.DCE,69402.0
2013-10-29,Y1409.DCE,72428.0
2013-10-30,Y1409.DCE,84492.0
2013-10-31,Y1409.DCE,84440.0
2013-11-01,Y1409.DCE,92858.0
2013-11-04,Y1409.DCE,110822.0
2013-11-05,Y1409.DCE,116448.0
2013-11-06,Y1409.DCE,117284.0
2013-11-07,Y1409.DCE,119360.0
2013-11-08,Y1409.DCE,123416.0
2013-11-11,Y1409.DCE,125194.0
2013-11-12,Y1409.DCE,128114.0
2013-11-13,Y1409.DCE,131712.0
2013-11-14,Y1409.DCE,139756.0
2013-11-15,Y1409.DCE,140810.0
2013-11-18,Y1409.DCE,157932.0
2013-11-19,Y1409.DCE,164362.0
2013-11-20,Y1409.DCE,180458.0
2013-11-21,Y1409.DCE,186496.0
2013-11-22,Y1409.DCE,196704.0
2013-11-25,Y1409.DCE,201012.0
2013-11-26,Y1409.DCE,202018.0
2013-11-27,Y1409.DCE,201288.0
2013-11-28,Y1409.DCE,200332.0
2013-11-29,Y1409.DCE,206056.0
2013-12-02,Y1409.DCE,226726.0
2013-12-03,Y1409.DCE,236572.0
2013-12-04,Y1409.DCE,243926.0
2013-12-05,Y1409.DCE,244782.0
2013-12-06,Y1409.DCE,243368.0
2013-12-09,Y1409.DCE,244846.0
2013-12-10,Y1409.DCE,246046.0
2013-12-11,Y1409.DCE,259806.0
2013-12-12,Y1409.DCE,263660.0
2013-12-13,Y1409.DCE,260572.0
2013-12-16,Y1409.DCE,256576.0
2013-12-17,Y1409.DCE,258756.0
2013-12-18,Y1409.DCE,257660.0
2013-12-19,Y1409.DCE,268734.0
2013-12-20,Y1409.DCE,268710.0
2013-12-23,Y1409.DCE,267758.0
2013-12-24,Y1409.DCE,267982.0
2013-12-25,Y1409.DCE,271482.0
2013-12-26,Y1409.DCE,272190.0
2013-12-27,Y1409.DCE,274836.0
2013-12-30,Y1409.DCE,279560.0
2013-12-31,Y1409.DCE,281116.0
2014-01-02,Y1409.DCE,285686.0
2014-01-03,Y1409.DCE,295818.0
2014-01-06,Y1409.DCE,302164.0
2014-01-07,Y1409.DCE,311456.0
2014-01-08,Y1409.DCE,312924.0
2014-01-09,Y1409.DCE,349354.0
2014-01-10,Y1409.DCE,350746.0
2014-01-13,Y1409.DCE,356482.0
2014-01-14,Y1409.DCE,363514.0
2014-01-15,Y1409.DCE,355692.0
2014-01-16,Y1409.DCE,361034.0
2014-01-17,Y1409.DCE,375108.0
2014-01-20,Y1409.DCE,389564.0
2014-01-21,Y1409.DCE,397892.0
2014-01-22,Y1409.DCE,387848.0
2014-01-23,Y1409.DCE,389446.0
2014-01-24,Y1409.DCE,401042.0
2014-01-27,Y1409.DCE,417398.0
2014-01-28,Y1409.DCE,421034.0
2014-01-29,Y1409.DCE,407296.0
2014-01-30,Y1409.DCE,406918.0
2014-02-07,Y1409.DCE,409764.0
2014-02-10,Y1409.DCE,447066.0
2014-02-11,Y1409.DCE,458662.0
2014-02-12,Y1409.DCE,465468.0
2014-02-13,Y1409.DCE,478086.0
2014-02-14,Y1409.DCE,489688.0
2014-02-17,Y1409.DCE,493600.0
2014-02-18,Y1409.DCE,503448.0
2014-02-19,Y1409.DCE,517788.0
2014-02-20,Y1409.DCE,532536.0
2014-02-21,Y1409.DCE,529316.0
2014-02-24,Y1409.DCE,532126.0
2014-02-25,Y1409.DCE,541448.0
2014-02-26,Y1409.DCE,529678.0
2014-02-27,Y1409.DCE,555764.0
2014-02-28,Y1409.DCE,565412.0
2014-03-03,Y1409.DCE,567786.0
2014-03-04,Y1409.DCE,559430.0
2014-03-05,Y1409.DCE,597434.0
2014-03-06,Y1409.DCE,605806.0
2014-03-07,Y1409.DCE,611884.0
2014-03-10,Y1409.DCE,624008.0
2014-03-11,Y1409.DCE,687246.0
2014-03-12,Y1409.DCE,652746.0
2014-03-13,Y1409.DCE,648772.0
2014-03-14,Y1409.DCE,647860.0
2014-03-17,Y1409.DCE,656478.0
2014-03-18,Y1409.DCE,680106.0
2014-03-19,Y1409.DCE,728808.0
2014-03-20,Y1409.DCE,685686.0
2014-03-21,Y1409.DCE,688562.0
2014-03-24,Y1409.DCE,682348.0
2014-03-25,Y1409.DCE,676828.0
2014-03-26,Y1409.DCE,686140.0
2014-03-27,Y1409.DCE,674054.0
2014-03-28,Y1409.DCE,672052.0
2014-03-31,Y1409.DCE,675084.0
2014-04-01,Y1409.DCE,681106.0
2014-04-02,Y1409.DCE,748520.0
2014-04-03,Y1409.DCE,725010.0
2014-04-04,Y1409.DCE,745952.0
2014-04-08,Y1409.DCE,767394.0
2014-04-09,Y1409.DCE,764734.0
2014-04-10,Y1409.DCE,746576.0
2014-04-11,Y1409.DCE,715278.0
2014-04-14,Y1409.DCE,709042.0
2014-04-15,Y1409.DCE,738122.0
2014-04-16,Y1409.DCE,671914.0
2014-04-17,Y1409.DCE,638360.0
2014-04-18,Y1409.DCE,621686.0
2014-04-21,Y1409.DCE,618116.0
2014-04-22,Y1409.DCE,616880.0
2014-04-23,Y1409.DCE,614390.0
2014-04-24,Y1409.DCE,613982.0
2014-04-25,Y1409.DCE,591222.0
2014-04-28,Y1409.DCE,579382.0
2014-04-29,Y1409.DCE,574932.0
2014-04-30,Y1409.DCE,546846.0
2014-05-05,Y1409.DCE,565224.0
2014-05-06,Y1409.DCE,564196.0
2014-05-07,Y1409.DCE,561644.0
2014-05-08,Y1409.DCE,574332.0
2014-05-09,Y1409.DCE,548826.0
2014-05-12,Y1409.DCE,545658.0
2014-05-13,Y1409.DCE,558270.0
2014-05-14,Y1409.DCE,539456.0
2014-05-15,Y1409.DCE,545308.0
2014-05-16,Y1409.DCE,537902.0
2014-05-19,Y1409.DCE,540602.0
2014-05-20,Y1409.DCE,535808.0
2014-05-21,Y1409.DCE,546948.0
2014-05-22,Y1409.DCE,515170.0
2014-05-23,Y1409.DCE,498964.0
2014-05-26,Y1409.DCE,501354.0
2014-05-27,Y1409.DCE,484340.0
2014-05-28,Y1409.DCE,488876.0
2014-05-29,Y1409.DCE,488026.0
2014-05-30,Y1409.DCE,488300.0
2014-06-03,Y1501.DCE,521888.0
2014-06-04,Y1501.DCE,522700.0
2014-06-05,Y1501.DCE,540872.0
2014-06-06,Y1501.DCE,539026.0
2014-06-09,Y1501.DCE,536636.0
2014-06-10,Y1501.DCE,534234.0
2014-06-11,Y1501.DCE,544702.0
2014-06-12,Y1501.DCE,540932.0
2014-06-13,Y1501.DCE,541600.0
2014-06-16,Y1501.DCE,533864.0
2014-06-17,Y1501.DCE,551366.0
2014-06-18,Y1501.DCE,569180.0
2014-06-19,Y1501.DCE,556592.0
2014-06-20,Y1501.DCE,535908.0
2014-06-23,Y1501.DCE,618390.0
2014-06-24,Y1501.DCE,665238.0
2014-06-25,Y1501.DCE,631808.0
2014-06-26,Y1501.DCE,645314.0
2014-06-27,Y1501.DCE,637290.0
2014-06-30,Y1501.DCE,626444.0
2014-07-01,Y1501.DCE,612916.0
2014-07-02,Y1501.DCE,615706.0
2014-07-03,Y1501.DCE,636360.0
2014-07-04,Y1501.DCE,635064.0
2014-07-07,Y1501.DCE,624890.0
2014-07-08,Y1501.DCE,639806.0
2014-07-09,Y1501.DCE,658976.0
2014-07-10,Y1501.DCE,672160.0
2014-07-11,Y1501.DCE,654410.0
2014-07-14,Y1501.DCE,651296.0
2014-07-15,Y1501.DCE,680026.0
2014-07-16,Y1501.DCE,676158.0
2014-07-17,Y1501.DCE,671170.0
2014-07-18,Y1501.DCE,688984.0
2014-07-21,Y1501.DCE,699018.0
2014-07-22,Y1501.DCE,719216.0
2014-07-23,Y1501.DCE,717522.0
2014-07-24,Y1501.DCE,716694.0
2014-07-25,Y1501.DCE,711128.0
2014-07-28,Y1501.DCE,718996.0
2014-07-29,Y1501.DCE,707208.0
2014-07-30,Y1501.DCE,704776.0
2014-07-31,Y1501.DCE,702336.0
2014-08-01,Y1501.DCE,699880.0
2014-08-04,Y1501.DCE,733542.0
2014-08-05,Y1501.DCE,721732.0
2014-08-06,Y1501.DCE,733176.0
2014-08-07,Y1501.DCE,725574.0
2014-08-08,Y1501.DCE,724222.0
2014-08-11,Y1501.DCE,722454.0
2014-08-12,Y1501.DCE,748072.0
2014-08-13,Y1501.DCE,748662.0
2014-08-14,Y1501.DCE,799044.0
2014-08-15,Y1501.DCE,839428.0
2014-08-18,Y1501.DCE,783476.0
2014-08-19,Y1501.DCE,779678.0
2014-08-20,Y1501.DCE,774172.0
2014-08-21,Y1501.DCE,755598.0
2014-08-22,Y1501.DCE,745042.0
2014-08-25,Y1501.DCE,762864.0
2014-08-26,Y1501.DCE,761512.0
2014-08-27,Y1501.DCE,747872.0
2014-08-28,Y1501.DCE,767920.0
2014-08-29,Y1501.DCE,793556.0
2014-09-01,Y1501.DCE,778022.0
2014-09-02,Y1501.DCE,821052.0
2014-09-03,Y1501.DCE,791504.0
2014-09-04,Y1501.DCE,774880.0
2014-09-05,Y1501.DCE,752982.0
2014-09-09,Y1501.DCE,769468.0
2014-09-10,Y1501.DCE,750586.0
2014-09-11,Y1501.DCE,784004.0
2014-09-12,Y1501.DCE,742404.0
2014-09-15,Y1501.DCE,783724.0
2014-09-16,Y1501.DCE,742810.0
2014-09-17,Y1501.DCE,761024.0
