trade_time,stock,position
2015-05-18,ZC605.CZC,76.0
2015-05-19,ZC605.CZC,84.0
2015-05-20,ZC605.CZC,84.0
2015-05-21,ZC605.CZC,122.0
2015-05-22,ZC605.CZC,154.0
2015-05-25,ZC605.CZC,154.0
2015-05-26,ZC605.CZC,338.0
2015-05-27,ZC605.CZC,456.0
2015-05-28,ZC605.CZC,524.0
2015-05-29,ZC605.CZC,544.0
2015-06-01,ZC605.CZC,552.0
2015-06-02,ZC605.CZC,566.0
2015-06-03,ZC605.CZC,572.0
2015-06-04,ZC605.CZC,588.0
2015-06-05,ZC605.CZC,592.0
2015-06-08,ZC605.CZC,612.0
2015-06-09,ZC605.CZC,614.0
2015-06-10,ZC605.CZC,620.0
2015-06-11,ZC605.CZC,626.0
2015-06-12,ZC605.CZC,694.0
2015-06-15,ZC605.CZC,692.0
2015-06-16,ZC605.CZC,716.0
2015-06-17,ZC605.CZC,746.0
2015-06-18,ZC605.CZC,746.0
2015-06-19,ZC605.CZC,762.0
2015-06-23,ZC605.CZC,762.0
2015-06-24,ZC605.CZC,786.0
2015-06-25,ZC605.CZC,804.0
2015-06-26,ZC605.CZC,718.0
2015-06-29,ZC605.CZC,698.0
2015-06-30,ZC605.CZC,700.0
2015-07-01,ZC605.CZC,726.0
2015-07-02,ZC605.CZC,720.0
2015-07-03,ZC605.CZC,732.0
2015-07-06,ZC605.CZC,702.0
2015-07-07,ZC605.CZC,606.0
2015-07-08,ZC605.CZC,524.0
2015-07-09,ZC605.CZC,488.0
2015-07-10,ZC605.CZC,506.0
2015-07-13,ZC605.CZC,514.0
2015-07-14,ZC605.CZC,520.0
2015-07-15,ZC605.CZC,530.0
2015-07-16,ZC605.CZC,538.0
2015-07-17,ZC605.CZC,570.0
2015-07-20,ZC605.CZC,576.0
2015-07-21,ZC605.CZC,608.0
2015-07-22,ZC605.CZC,656.0
2015-07-23,ZC605.CZC,694.0
2015-07-24,ZC605.CZC,690.0
2015-07-27,ZC605.CZC,716.0
2015-07-28,ZC605.CZC,722.0
2015-07-29,ZC605.CZC,912.0
2015-07-30,ZC605.CZC,1068.0
2015-07-31,ZC605.CZC,1084.0
2015-08-03,ZC605.CZC,1114.0
2015-08-04,ZC605.CZC,1130.0
2015-08-05,ZC605.CZC,1076.0
2015-08-06,ZC605.CZC,1086.0
2015-08-07,ZC605.CZC,1134.0
2015-08-10,ZC605.CZC,1244.0
2015-08-11,ZC605.CZC,1372.0
2015-08-12,ZC605.CZC,1442.0
2015-08-13,ZC605.CZC,1656.0
2015-08-14,ZC605.CZC,1696.0
2015-08-17,ZC605.CZC,1726.0
2015-08-18,ZC605.CZC,2094.0
2015-08-19,ZC605.CZC,2142.0
2015-08-20,ZC605.CZC,2206.0
2015-08-21,ZC605.CZC,2226.0
2015-08-24,ZC605.CZC,2168.0
2015-08-25,ZC605.CZC,2088.0
2015-08-26,ZC605.CZC,2404.0
2015-08-27,ZC605.CZC,2416.0
2015-08-28,ZC605.CZC,2534.0
2015-08-31,ZC605.CZC,2608.0
2015-09-01,ZC605.CZC,2516.0
2015-09-02,ZC605.CZC,2524.0
2015-09-07,ZC605.CZC,2530.0
2015-09-08,ZC605.CZC,2512.0
2015-09-09,ZC605.CZC,2912.0
2015-09-10,ZC605.CZC,3004.0
2015-09-11,ZC605.CZC,3142.0
2015-09-14,ZC605.CZC,3058.0
2015-09-15,ZC605.CZC,3120.0
2015-09-16,ZC605.CZC,3254.0
2015-09-17,ZC605.CZC,3296.0
2015-09-18,ZC605.CZC,3370.0
2015-09-21,ZC605.CZC,3832.0
2015-09-22,ZC605.CZC,4004.0
2015-09-23,ZC605.CZC,4016.0
2015-09-24,ZC605.CZC,4076.0
2015-09-25,ZC605.CZC,4078.0
2015-09-28,ZC605.CZC,4406.0
2015-09-29,ZC605.CZC,4354.0
2015-09-30,ZC605.CZC,4254.0
2015-10-08,ZC605.CZC,4338.0
2015-10-09,ZC605.CZC,4700.0
2015-10-12,ZC605.CZC,4894.0
2015-10-13,ZC605.CZC,5132.0
2015-10-14,ZC605.CZC,5822.0
2015-10-15,ZC605.CZC,5950.0
2015-10-16,ZC605.CZC,6074.0
2015-10-19,ZC605.CZC,6098.0
2015-10-20,ZC605.CZC,6132.0
2015-10-21,ZC605.CZC,6176.0
2015-10-22,ZC605.CZC,6128.0
2015-10-23,ZC605.CZC,7744.0
2015-10-26,ZC605.CZC,10104.0
2015-10-27,ZC605.CZC,11750.0
2015-10-28,ZC605.CZC,12278.0
2015-10-29,ZC605.CZC,12158.0
2015-10-30,ZC605.CZC,13164.0
2015-11-02,ZC605.CZC,18122.0
2015-11-03,ZC605.CZC,21252.0
2015-11-04,ZC605.CZC,22204.0
2015-11-05,ZC605.CZC,26038.0
2015-11-06,ZC605.CZC,29134.0
2015-11-09,ZC605.CZC,29524.0
2015-11-10,ZC605.CZC,27896.0
2015-11-11,ZC605.CZC,29152.0
2015-11-12,ZC605.CZC,32398.0
2015-11-13,ZC605.CZC,33770.0
2015-11-16,ZC605.CZC,35034.0
2015-11-17,ZC605.CZC,34952.0
2015-11-18,ZC605.CZC,38074.0
2015-11-19,ZC605.CZC,42110.0
