trade_time,stock,position
2013-08-15,ZN1407.SHF,2.0
2013-08-16,ZN1407.SHF,2.0
2013-08-19,ZN1407.SHF,2.0
2013-08-20,ZN1407.SHF,2.0
2013-08-21,ZN1407.SHF,2.0
2013-08-22,ZN1407.SHF,2.0
2013-08-23,ZN1407.SHF,2.0
2013-08-26,ZN1407.SHF,2.0
2013-08-27,ZN1407.SHF,2.0
2013-08-28,ZN1407.SHF,2.0
2013-08-29,ZN1407.SHF,4.0
2013-08-30,ZN1407.SHF,4.0
2013-09-02,ZN1407.SHF,4.0
2013-09-03,ZN1407.SHF,4.0
2013-09-04,ZN1407.SHF,4.0
2013-09-05,ZN1407.SHF,4.0
2013-09-06,ZN1407.SHF,4.0
2013-09-09,ZN1407.SHF,4.0
2013-09-10,ZN1407.SHF,4.0
2013-09-11,ZN1407.SHF,4.0
2013-09-12,ZN1407.SHF,4.0
2013-09-13,ZN1407.SHF,4.0
2013-09-16,ZN1407.SHF,4.0
2013-09-17,ZN1407.SHF,4.0
2013-09-18,ZN1407.SHF,4.0
2013-09-23,ZN1407.SHF,4.0
2013-09-24,ZN1407.SHF,4.0
2013-09-25,ZN1407.SHF,4.0
2013-09-26,ZN1407.SHF,4.0
2013-09-27,ZN1407.SHF,4.0
2013-09-30,ZN1407.SHF,4.0
2013-10-08,ZN1407.SHF,4.0
2013-10-09,ZN1407.SHF,4.0
2013-10-10,ZN1407.SHF,4.0
2013-10-11,ZN1407.SHF,4.0
2013-10-14,ZN1407.SHF,4.0
2013-10-15,ZN1408.SHF,24.0
2013-10-16,ZN1408.SHF,10.0
2013-10-17,ZN1408.SHF,10.0
2013-10-18,ZN1408.SHF,10.0
2013-10-21,ZN1407.SHF,14.0
2013-10-22,ZN1407.SHF,14.0
2013-10-23,ZN1407.SHF,14.0
2013-10-24,ZN1407.SHF,14.0
2013-10-25,ZN1407.SHF,14.0
2013-10-28,ZN1407.SHF,14.0
2013-10-29,ZN1410.SHF,60.0
2013-10-30,ZN1410.SHF,22.0
2013-10-31,ZN1410.SHF,22.0
2013-11-01,ZN1410.SHF,22.0
2013-11-04,ZN1410.SHF,22.0
2013-11-05,ZN1410.SHF,22.0
2013-11-06,ZN1410.SHF,22.0
2013-11-07,ZN1410.SHF,22.0
2013-11-08,ZN1410.SHF,22.0
2013-11-11,ZN1410.SHF,22.0
2013-11-12,ZN1410.SHF,22.0
2013-11-13,ZN1410.SHF,24.0
2013-11-14,ZN1410.SHF,20.0
2013-11-15,ZN1408.SHF,18.0
2013-11-18,ZN1408.SHF,18.0
2013-11-19,ZN1408.SHF,18.0
2013-11-20,ZN1408.SHF,18.0
2013-11-21,ZN1408.SHF,18.0
2013-11-22,ZN1408.SHF,18.0
2013-11-25,ZN1408.SHF,18.0
2013-11-26,ZN1408.SHF,22.0
2013-11-27,ZN1408.SHF,22.0
2013-11-28,ZN1409.SHF,28.0
2013-11-29,ZN1409.SHF,26.0
2013-12-02,ZN1409.SHF,26.0
2013-12-03,ZN1410.SHF,40.0
2013-12-04,ZN1410.SHF,42.0
2013-12-05,ZN1410.SHF,42.0
2013-12-06,ZN1410.SHF,46.0
2013-12-09,ZN1410.SHF,46.0
2013-12-10,ZN1410.SHF,44.0
2013-12-11,ZN1410.SHF,44.0
2013-12-12,ZN1410.SHF,42.0
2013-12-13,ZN1410.SHF,42.0
2013-12-16,ZN1410.SHF,50.0
2013-12-17,ZN1410.SHF,48.0
2013-12-18,ZN1410.SHF,48.0
2013-12-19,ZN1411.SHF,54.0
2013-12-20,ZN1410.SHF,52.0
2013-12-23,ZN1407.SHF,78.0
2013-12-24,ZN1407.SHF,76.0
2013-12-25,ZN1407.SHF,304.0
2013-12-26,ZN1407.SHF,400.0
2013-12-27,ZN1407.SHF,418.0
2013-12-30,ZN1407.SHF,422.0
2013-12-31,ZN1407.SHF,424.0
2014-01-02,ZN1407.SHF,424.0
2014-01-03,ZN1407.SHF,424.0
2014-01-06,ZN1407.SHF,500.0
2014-01-07,ZN1407.SHF,510.0
2014-01-08,ZN1407.SHF,510.0
2014-01-09,ZN1407.SHF,500.0
2014-01-10,ZN1407.SHF,498.0
2014-01-13,ZN1407.SHF,498.0
2014-01-14,ZN1407.SHF,522.0
2014-01-15,ZN1407.SHF,520.0
2014-01-16,ZN1407.SHF,570.0
2014-01-17,ZN1407.SHF,986.0
2014-01-20,ZN1407.SHF,990.0
2014-01-21,ZN1407.SHF,958.0
2014-01-22,ZN1407.SHF,976.0
2014-01-23,ZN1407.SHF,986.0
2014-01-24,ZN1407.SHF,986.0
2014-01-27,ZN1407.SHF,982.0
2014-01-28,ZN1407.SHF,980.0
2014-01-29,ZN1407.SHF,980.0
2014-01-30,ZN1407.SHF,1004.0
2014-02-07,ZN1407.SHF,1004.0
2014-02-10,ZN1407.SHF,1004.0
2014-02-11,ZN1407.SHF,1014.0
2014-02-12,ZN1407.SHF,1086.0
2014-02-13,ZN1407.SHF,1086.0
2014-02-14,ZN1407.SHF,1082.0
2014-02-17,ZN1407.SHF,1266.0
2014-02-18,ZN1407.SHF,1800.0
2014-02-19,ZN1407.SHF,2094.0
2014-02-20,ZN1407.SHF,2294.0
2014-02-21,ZN1407.SHF,2472.0
2014-02-24,ZN1407.SHF,2432.0
2014-02-25,ZN1407.SHF,3924.0
2014-02-26,ZN1407.SHF,6122.0
2014-02-27,ZN1407.SHF,7238.0
2014-02-28,ZN1407.SHF,9004.0
2014-03-03,ZN1407.SHF,9236.0
2014-03-04,ZN1407.SHF,10266.0
2014-03-05,ZN1407.SHF,14306.0
2014-03-06,ZN1407.SHF,15610.0
2014-03-07,ZN1407.SHF,14878.0
2014-03-10,ZN1407.SHF,15748.0
2014-03-11,ZN1407.SHF,15070.0
2014-03-12,ZN1407.SHF,15970.0
