trade_time,goods_code,goods_name,open,high,low,close,maprice_80,stdprice_80,stdmux_80,highstdmux_80,lowstdmux_80,maprice_100,stdprice_100,stdmux_100,highstdmux_100,lowstdmux_100,maprice_120,stdprice_120,stdmux_120,highstdmux_120,lowstdmux_120,maprice_140,stdprice_140,stdmux_140,highstdmux_140,lowstdmux_140,maprice_160,stdprice_160,stdmux_160,highstdmux_160,lowstdmux_160,maprice_180,stdprice_180,stdmux_180,highstdmux_180,lowstdmux_180,maprice_200,stdprice_200,stdmux_200,highstdmux_200,lowstdmux_200,maprice_220,stdprice_220,stdmux_220,highstdmux_220,lowstdmux_220,maprice_240,stdprice_240,stdmux_240,highstdmux_240,lowstdmux_240,maprice_260,stdprice_260,stdmux_260,highstdmux_260,lowstdmux_260
2019-10-23 11:05:00,bu1912.SHF,沥青,0.0,2962.0,2958.0,2960.0,2964.4589,9.1057,-0.4897,-0.27,-0.7093,2964.262,8.6319,-0.4938,-0.2621,-0.7255,2961.9508,9.3503,-0.2086,0.0053,-0.4225,2961.9151,8.7728,-0.2183,0.0097,-0.4463,2961.4559,8.5921,-0.1694,0.0633,-0.4022,2965.495,9.2708,-0.5927,-0.377,-0.8085,2960.7273,13.3898,-0.0543,0.095,-0.2037,2952.1882,20.2722,0.3853,0.484,0.2867,2951.7633,19.6598,0.419,0.5207,0.3172,2951.2964,19.2318,0.4526,0.5566,0.3486
2019-10-23 11:10:00,bu1912.SHF,沥青,0.0,2966.0,2962.0,2962.0,2964.4275,9.0769,-0.2674,0.1732,-0.2674,2964.2291,8.6319,-0.2582,0.2052,-0.2582,2961.9123,9.342,0.0094,0.4376,0.0094,2961.9159,8.7728,0.0096,0.4655,0.0096,2961.4525,8.5921,0.0637,0.5293,0.0637,2965.5199,9.1794,-0.3835,0.0523,-0.3835,2961.1433,13.0484,0.0657,0.3722,0.0657,2953.0358,20.1651,0.4445,0.6429,0.4445,2951.8186,19.6611,0.5178,0.7213,0.5178,2951.3832,19.1914,0.5532,0.7616,0.5532
2019-10-23 11:15:00,bu1912.SHF,沥青,0.0,2964.0,2962.0,2962.0,2964.4288,9.0769,-0.2676,-0.0472,-0.2676,2964.2266,8.6319,-0.2579,-0.0262,-0.2579,2961.8563,9.3399,0.0154,0.2295,0.0154,2961.944,8.7389,0.0064,0.2353,0.0064,2961.3472,8.5434,0.0764,0.3105,0.0764,2965.582,9.1066,-0.3933,-0.1737,-0.3933,2961.5226,12.694,0.0376,0.1952,0.0376,2953.7567,19.9104,0.414,0.5145,0.414,2951.8368,19.6589,0.517,0.6187,0.517,2951.4387,19.1663,0.551,0.6554,0.551
2019-10-23 11:20:00,bu1912.SHF,沥青,0.0,2964.0,2956.0,2958.0,2964.3819,9.0769,-0.7031,-0.0421,-0.9234,2964.1707,8.6536,-0.7131,-0.0197,-0.9442,2961.8157,9.3527,-0.408,0.2336,-0.6218,2961.9263,8.7458,-0.4489,0.2371,-0.6776,2961.2989,8.5497,-0.3859,0.3159,-0.6198,2965.7015,9.1122,-0.8452,-0.1867,-1.0647,2961.6903,12.2912,-0.3002,0.1879,-0.463,2954.5767,19.6457,0.1743,0.4797,0.0724,2951.8599,19.652,0.3124,0.6178,0.2107,2951.4917,19.1357,0.3401,0.6537,0.2356
2019-10-23 11:25:00,bu1912.SHF,沥青,0.0,2960.0,2952.0,2956.0,2964.3282,9.1283,-0.9124,-0.4742,-1.3506,2964.1725,8.6713,-0.9425,-0.4812,-1.4038,2961.7614,9.3734,-0.6147,-0.1879,-1.0414,2961.8626,8.7633,-0.669,-0.2125,-1.1254,2961.3276,8.5497,-0.6231,-0.1553,-1.091,2965.5734,9.1073,-1.0512,-0.612,-1.4904,2961.8621,11.981,-0.4893,-0.1554,-0.8231,2954.8804,19.4179,0.0577,0.2637,-0.1483,2951.8715,19.644,0.2102,0.4138,0.0065,2951.5228,19.0958,0.2345,0.4439,0.025
2019-10-23 11:30:00,bu1912.SHF,沥青,0.0,2960.0,2954.0,2960.0,2964.3158,9.1397,-0.4722,-0.4722,-1.1287,2964.1695,8.6797,-0.4804,-0.4804,-1.1716,2961.7127,9.3747,-0.1827,-0.1827,-0.8227,2961.8657,8.7633,-0.2129,-0.2129,-0.8976,2961.5088,8.4749,-0.178,-0.178,-0.886,2965.5599,9.1089,-0.6104,-0.6104,-1.2691,2962.0358,11.5828,-0.1758,-0.1758,-0.6938,2955.5677,19.1651,0.2313,0.2313,-0.0818,2951.8859,19.6386,0.4132,0.4132,0.1076,2951.5483,19.0585,0.4435,0.4435,0.1286
2019-10-23 13:35:00,bu1912.SHF,沥青,0.0,2960.0,2954.0,2958.0,2964.2641,9.1734,-0.6829,-0.4648,-1.1189,2964.1261,8.7044,-0.7038,-0.474,-1.1633,2961.8911,9.3636,-0.4156,-0.202,-0.8427,2961.8471,8.7734,-0.4385,-0.2105,-0.8944,2961.5487,8.4667,-0.4191,-0.1829,-0.8916,2965.5091,9.1113,-0.8242,-0.6046,-1.2632,2962.2601,11.0866,-0.3843,-0.2039,-0.7451,2955.7101,18.9271,0.121,0.2267,-0.0904,2951.9035,19.6347,0.3105,0.4124,0.1068,2951.62,19.0102,0.3356,0.4408,0.1252
2019-10-23 13:40:00,bu1912.SHF,沥青,0.0,2964.0,2958.0,2962.0,2964.2504,9.179,-0.2452,-0.0273,-0.681,2964.1149,8.7079,-0.2429,-0.0132,-0.7022,2962.3209,9.1955,-0.0349,0.1826,-0.4699,2961.8577,8.7633,0.0162,0.2445,-0.4402,2961.5471,8.4667,0.0535,0.2897,-0.4189,2965.509,9.1117,-0.3851,-0.1656,-0.8241,2962.4877,10.6458,-0.0458,0.1421,-0.4215,2955.8556,18.7083,0.3284,0.4353,0.1146,2951.928,19.6316,0.513,0.6149,0.3093,2951.692,18.9956,0.5427,0.6479,0.3321
2019-10-23 13:45:00,bu1912.SHF,沥青,0.0,2970.0,2962.0,2966.0,2964.2396,9.1623,0.1921,0.6287,-0.2444,2964.1545,8.7091,0.2119,0.6712,-0.2474,2962.9283,8.9428,0.3435,0.7908,-0.1038,2961.9579,8.7458,0.4622,0.9195,0.0048,2961.613,8.4689,0.518,0.9903,0.0457,2965.4646,9.1003,0.0588,0.4984,-0.3807,2962.8216,10.3059,0.3084,0.6965,-0.0797,2956.0251,18.491,0.5394,0.7558,0.3231,2952.0167,19.636,0.7121,0.9158,0.5084,2951.7951,19.0075,0.7473,0.9578,0.5369
2019-10-23 13:50:00,bu1912.SHF,沥青,0.0,2970.0,2964.0,2966.0,2964.226,9.1452,0.194,0.6314,-0.0247,2964.1509,8.7091,0.2123,0.6716,-0.0173,2963.2318,8.7213,0.3174,0.7761,0.0881,2961.9902,8.7484,0.4583,0.9156,0.2297,2961.6613,8.4574,0.513,0.986,0.2765,2965.449,9.0958,0.0606,0.5003,-0.1593,2963.1408,10.0226,0.2853,0.6844,0.0857,2956.2141,18.2459,0.5363,0.7556,0.4267,2952.0721,19.64,0.7092,0.9128,0.6073,2951.8689,19.0139,0.7432,0.9536,0.638
2019-10-23 13:55:00,bu1912.SHF,沥青,0.0,2974.0,2966.0,2972.0,2964.4062,9.1789,0.8273,1.0452,0.1736,2964.3202,8.7409,0.8786,1.1074,0.1922,2963.6875,8.4731,0.981,1.2171,0.2729,2962.142,8.7756,1.1233,1.3512,0.4396,2961.8034,8.4874,1.2014,1.437,0.4945,2965.4761,9.0839,0.7182,0.9384,0.0577,2963.4147,10.0297,0.856,1.0554,0.2578,2956.5847,17.963,0.8582,0.9695,0.5241,2952.1991,19.657,1.0073,1.1091,0.7021,2951.9936,19.043,1.0506,1.1556,0.7355
2019-10-23 14:00:00,bu1912.SHF,沥青,0.0,2980.0,2968.0,2978.0,2964.9957,9.2881,1.4001,1.6154,0.3235,2964.6745,8.7934,1.5154,1.7428,0.3782,2964.4146,8.2221,1.6523,1.8955,0.4361,2962.5152,8.8605,1.7476,1.9733,0.619,2962.191,8.5708,1.8445,2.0779,0.6778,2965.3569,9.0646,1.3948,1.6154,0.2916,2963.9125,9.9656,1.4136,1.6143,0.4102,2957.0359,17.6708,1.1864,1.2996,0.6205,2952.5001,19.7027,1.2942,1.3957,0.7867,2952.2778,19.0979,1.3469,1.4516,0.8232
2019-10-23 14:05:00,bu1912.SHF,沥青,0.0,2980.0,2974.0,2978.0,2965.285,9.3943,1.3535,1.5664,0.9277,2964.8756,8.8453,1.4838,1.7099,1.0315,2964.967,8.2783,1.5743,1.8159,1.0912,2962.7312,8.9455,1.7069,1.9305,1.2597,2962.4688,8.6116,1.8035,2.0358,1.339,2963.487,8.7972,1.6497,1.8771,1.195,2964.2434,9.9393,1.3841,1.5853,0.9816,2957.8438,17.216,1.1708,1.287,0.9384,2952.6866,19.7537,1.2815,1.3827,1.079,2952.4331,19.1482,1.3352,1.4397,1.1263
2019-10-23 14:10:00,bu1912.SHF,沥青,0.0,2980.0,2974.0,2974.0,2965.3607,9.4406,0.9151,1.5507,0.9151,2964.8913,8.8643,1.0276,1.7044,1.0276,2965.1716,8.2648,1.0682,1.7942,1.0682,2962.8083,8.9885,1.2451,1.9126,1.2451,2962.6154,8.6115,1.322,2.0188,1.322,2963.0257,8.5672,1.281,1.9813,1.281,2964.42,9.863,0.9713,1.5796,0.9713,2958.4165,16.6868,0.9339,1.2934,0.9339,2952.7614,19.7838,1.0735,1.3768,1.0735,2952.5082,19.1775,1.1207,1.4335,1.1207
2019-10-23 14:15:00,bu1912.SHF,沥青,0.0,2976.0,2970.0,2972.0,2965.4239,9.47,0.6944,1.1168,0.4832,2964.9345,8.8786,0.7958,1.2463,0.5705,2965.2344,8.2909,0.816,1.2985,0.5748,2962.8687,9.0114,1.0133,1.4572,0.7914,2962.706,8.5949,1.0813,1.5467,0.8486,2962.7634,8.5543,1.0798,1.5474,0.846,2964.5358,9.7731,0.7638,1.173,0.5591,2959.0405,16.0868,0.8056,1.0542,0.6813,2952.8151,19.8088,0.9685,1.1704,0.8675,2952.6132,19.1845,1.0105,1.219,0.9063
2019-10-23 14:20:00,bu1912.SHF,沥青,0.0,2976.0,2970.0,2972.0,2965.4955,9.4975,0.6849,1.106,0.4743,2965.053,8.8953,0.781,1.2307,0.5561,2965.3011,8.3164,0.8055,1.2865,0.565,2962.9405,9.015,1.0049,1.4486,0.7831,2962.7858,8.5764,1.0744,1.5408,0.8412,2962.6361,8.5543,1.0946,1.5622,0.8608,2964.6524,9.7195,0.756,1.1675,0.5502,2959.3722,15.5687,0.8111,1.068,0.6826,2952.8686,19.8306,0.9647,1.1665,0.8639,2952.7048,19.2012,1.0049,1.2132,0.9007
2019-10-23 14:25:00,bu1912.SHF,沥青,0.0,2976.0,2970.0,2974.0,2965.5316,9.5412,0.8876,1.0972,0.4683,2965.3886,8.8967,0.9679,1.1927,0.5183,2965.1925,8.3451,1.0554,1.2951,0.5761,2962.9874,9.055,1.2162,1.4371,0.7744,2962.839,8.6136,1.2957,1.5279,0.8314,2962.585,8.5672,1.3324,1.5658,0.8655,2965.0045,9.5855,0.9385,1.1471,0.5212,2959.705,14.8725,0.9612,1.0956,0.6922,2952.9183,19.8552,1.0618,1.1625,0.8603,2952.7497,19.2286,1.1051,1.2092,0.8971
2019-10-23 14:30:00,bu1912.SHF,沥青,0.0,2976.0,2974.0,2974.0,2965.551,9.5878,0.8812,1.0898,0.8812,2965.4576,8.8712,0.9629,1.1884,0.9629,2965.2023,8.3856,1.0491,1.2876,1.0491,2963.0091,9.0941,1.2086,1.4285,1.2086,2962.8584,8.6533,1.2875,1.5187,1.2875,2962.5576,8.5904,1.332,1.5648,1.332,2965.4129,9.4958,0.9043,1.1149,0.9043,2960.1129,14.3407,0.9684,1.1078,0.9684,2952.9471,19.8745,1.0593,1.1599,1.0593,2952.7749,19.2512,1.1025,1.2064,1.1025
2019-10-23 14:35:00,bu1912.SHF,沥青,0.0,2978.0,2974.0,2974.0,2965.643,9.6311,0.8677,1.283,0.8677,2965.5964,8.8649,0.948,1.3992,0.948,2965.2825,8.4254,1.0347,1.5094,1.0347,2963.0704,9.1337,1.1966,1.6346,1.1966,2962.9307,8.6819,1.275,1.7357,1.275,2962.5906,8.6134,1.3246,1.789,1.3246,2965.6262,9.3234,0.8981,1.3272,0.8981,2960.4728,13.8575,0.9762,1.2648,0.9762,2953.0116,19.8977,1.0548,1.2558,1.0548,2952.8341,19.2806,1.0978,1.3052,1.0978
2019-10-23 14:40:00,bu1912.SHF,沥青,0.0,2980.0,2974.0,2976.0,2965.8529,9.6964,1.0465,1.459,0.8402,2965.8155,8.8521,1.1505,1.6024,0.9246,2965.4763,8.4793,1.2411,1.7128,1.0052,2963.2208,9.188,1.3909,1.8262,1.1732,2963.0837,8.7256,1.4803,1.9387,1.2511,2962.6502,8.6288,1.5471,2.0107,1.3153,2965.8589,9.2599,1.0952,1.5271,0.8792,2961.0382,13.4688,1.1108,1.4078,0.9624,2953.248,19.8959,1.1436,1.3446,1.043,2952.9514,19.3172,1.1932,1.4002,1.0896
2019-10-23 14:45:00,bu1912.SHF,沥青,0.0,2978.0,2968.0,2970.0,2965.9063,9.7044,0.4218,1.2462,0.2157,2965.8921,8.809,0.4663,1.3745,0.2393,2965.5418,8.4855,0.5254,1.4682,0.2897,2963.2805,9.2014,0.7303,1.5997,0.5129,2963.1488,8.7347,0.7844,1.7003,0.5554,2962.6118,8.6186,0.8572,1.7855,0.6252,2965.9839,9.1839,0.4373,1.3084,0.2195,2961.5416,13.1371,0.6439,1.2528,0.4916,2953.4814,19.8306,0.833,1.2364,0.7321,2953.0278,19.3323,0.8779,1.2917,0.7745
2019-10-23 14:50:00,bu1912.SHF,沥青,0.0,2972.0,2966.0,2972.0,2965.9682,9.7175,0.6207,0.6207,0.0033,2966.001,8.7957,0.682,0.682,-0.0001,2965.6326,8.5024,0.7489,0.7489,0.0432,2963.3392,9.2196,0.9394,0.9394,0.2886,2963.2291,8.7578,1.0015,1.0015,0.3164,2962.6961,8.6434,1.0764,1.0764,0.3822,2966.0677,9.1135,0.6509,0.6509,-0.0074,2961.9776,12.8306,0.7811,0.7811,0.3135,2954.3368,19.7437,0.8946,0.8946,0.5907,2953.1129,19.3532,0.9759,0.9759,0.6659
2019-10-23 14:55:00,bu1912.SHF,沥青,0.0,2974.0,2970.0,2972.0,2965.9322,9.7175,0.6244,0.8302,0.4186,2966.0504,8.8077,0.6755,0.9026,0.4484,2965.6711,8.5185,0.743,0.9777,0.5082,2963.3401,9.242,0.937,1.1534,0.7206,2963.2863,8.7464,0.9963,1.2249,0.7676,2962.6407,8.6307,1.0844,1.3161,0.8527,2966.1446,9.0596,0.6463,0.8671,0.4256,2962.3503,12.5117,0.7712,0.9311,0.6114,2955.044,19.5145,0.8689,0.9714,0.7664,2953.1503,19.3701,0.9731,1.0764,0.8699
2019-10-23 15:00:00,bu1912.SHF,沥青,0.0,2976.0,2970.0,2976.0,2966.0644,9.7591,1.0181,1.0181,0.4033,2966.2126,8.8265,1.1089,1.1089,0.4291,2965.7986,8.567,1.1908,1.1908,0.4904,2963.453,9.2954,1.3498,1.3498,0.7043,2963.4033,8.7924,1.4327,1.4327,0.7503,2962.73,8.6832,1.5282,1.5282,0.8373,2966.3522,9.0936,1.0609,1.0609,0.4011,2962.5858,12.1643,1.1028,1.1028,0.6095,2955.9028,19.2935,1.0417,1.0417,0.7307,2953.2481,19.4009,1.1727,1.1727,0.8635
2019-10-23 21:05:00,bu1912.SHF,沥青,0.0,2984.0,2962.0,2968.0,2966.1196,9.72,0.1935,1.8395,-0.4238,2966.3254,8.8182,0.1899,2.0043,-0.4905,2965.9568,8.5417,0.2392,2.1124,-0.4632,2963.6101,9.2995,0.4721,2.1926,-0.1731,2963.541,8.7967,0.5069,2.3258,-0.1752,2962.9482,8.6732,0.5825,2.4272,-0.1093,2966.3136,9.0807,0.1857,1.9477,-0.475,2962.8671,11.8691,0.4325,1.7805,-0.0731,2956.4048,19.0818,0.6077,1.4462,0.2932,2953.4947,19.4054,0.7475,1.572,0.4383
2019-10-23 21:10:00,bu1912.SHF,沥青,0.0,2972.0,2966.0,2970.0,2966.1465,9.6883,0.3977,0.6042,-0.0151,2966.4002,8.8156,0.4083,0.6352,-0.0454,2966.0378,8.5445,0.4637,0.6978,-0.0044,2963.6716,9.3108,0.6797,0.8945,0.2501,2963.6277,8.8032,0.7239,0.951,0.2695,2963.1961,8.6109,0.7901,1.0224,0.3256,2966.3475,9.0892,0.4019,0.6219,-0.0382,2963.0776,11.5012,0.6019,0.7758,0.2541,2957.1264,18.8491,0.683,0.7891,0.4708,2953.5945,19.4148,0.845,0.948,0.639
2019-10-23 21:15:00,bu1912.SHF,沥青,0.0,2972.0,2966.0,2970.0,2965.9352,9.6322,0.422,0.6296,0.0067,2966.4424,8.8201,0.4034,0.6301,-0.0502,2966.0725,8.5521,0.4592,0.6931,-0.0085,2963.923,9.2956,0.6537,0.8689,0.2234,2963.6669,8.8139,0.7185,0.9455,0.2647,2963.2907,8.6065,0.7796,1.0119,0.3148,2966.3464,9.0945,0.4017,0.6216,-0.0381,2963.3144,11.0393,0.6056,0.7868,0.2433,2957.2924,18.6313,0.6821,0.7894,0.4674,2953.6446,19.4274,0.8419,0.9448,0.636
2019-10-23 21:20:00,bu1912.SHF,沥青,0.0,2974.0,2966.0,2970.0,2965.831,9.5995,0.4343,0.851,0.0176,2966.4767,8.8241,0.3993,0.8526,-0.054,2966.1033,8.5594,0.4553,0.9226,-0.0121,2964.335,9.1424,0.6196,1.0572,0.1821,2963.7095,8.8121,0.7138,1.1678,0.2599,2963.3281,8.6193,0.7741,1.2381,0.31,2966.3709,9.1037,0.3986,0.838,-0.0407,2963.5415,10.6318,0.6075,0.9837,0.2312,2957.4512,18.4283,0.681,0.898,0.4639,2953.6928,19.4359,0.839,1.0448,0.6332
2019-10-23 21:25:00,bu1912.SHF,沥青,0.0,2974.0,2970.0,2974.0,2965.8192,9.5752,0.8544,0.8544,0.4366,2966.4764,8.8494,0.8502,0.8502,0.3982,2966.13,8.5905,0.9161,0.9161,0.4505,2964.8335,8.9323,1.0262,1.0262,0.5784,2963.7764,8.8212,1.159,1.159,0.7055,2963.3639,8.65,1.2296,1.2296,0.7672,2966.3475,9.1208,0.839,0.839,0.4005,2963.8359,10.3305,0.9839,0.9839,0.5967,2957.5631,18.2324,0.9015,0.9015,0.6821,2953.717,19.4564,1.0425,1.0425,0.8369
2019-10-23 21:30:00,bu1912.SHF,沥青,0.0,2976.0,2970.0,2974.0,2965.838,9.5943,0.8507,1.0592,0.4338,2966.4962,8.8745,0.8455,1.0709,0.3948,2966.1656,8.6226,0.9086,1.1405,0.4447,2965.1066,8.75,1.0164,1.245,0.5592,2963.8179,8.8521,1.1503,1.3762,0.6984,2963.4127,8.6652,1.2218,1.4526,0.7602,2966.3545,9.143,0.8362,1.055,0.3987,2964.1365,10.0825,0.9783,1.1767,0.5816,2957.7315,18.0098,0.9033,1.0144,0.6812,2953.7556,19.4762,1.0394,1.1421,0.8341
2019-10-23 21:35:00,bu1912.SHF,沥青,0.0,2992.0,2974.0,2990.0,2967.5012,9.9594,2.2591,2.4599,0.6525,2967.9396,9.1796,2.4032,2.6211,0.6602,2967.4961,8.8959,2.5297,2.7545,0.7311,2966.5155,8.7379,2.6876,2.9165,0.8566,2964.8787,9.0727,2.7689,2.9893,1.0054,2964.4151,8.8786,2.8816,3.1069,1.0795,2967.0232,9.2971,2.4714,2.6865,0.7504,2964.9821,10.2244,2.4469,2.6425,0.882,2958.679,17.821,1.7575,1.8698,0.8597,2954.4648,19.5712,1.8157,1.9179,0.9982
2019-10-23 21:40:00,bu1912.SHF,沥青,0.0,2990.0,2986.0,2988.0,2967.9983,10.2547,1.9505,2.1455,1.7555,2968.3286,9.4216,2.0879,2.3002,1.8756,2967.7678,9.0894,2.2259,2.4459,2.0059,2967.0809,8.6282,2.4245,2.6563,2.1927,2965.1655,9.2587,2.4663,2.6823,2.2503,2964.7063,9.0533,2.573,2.7939,2.352,2966.9556,9.3815,2.2432,2.4564,2.03,2965.4299,10.2366,2.2048,2.4002,2.0095,2959.0488,17.5847,1.6464,1.7601,1.5327,2954.6861,19.656,1.6948,1.7966,1.5931
2019-10-23 21:45:00,bu1912.SHF,沥青,0.0,2996.0,2984.0,2994.0,2968.7222,10.7071,2.3608,2.5476,1.4269,2968.891,9.8016,2.5617,2.7658,1.5415,2968.2502,9.4101,2.7364,2.9489,1.6737,2967.8712,8.9099,2.9326,3.157,1.8102,2965.5898,9.5402,2.9779,3.1876,1.9297,2965.1805,9.279,3.1059,3.3214,2.0282,2965.6463,9.3486,3.0329,3.2469,1.9633,2965.8991,10.3553,2.7137,2.9068,1.748,2959.943,17.2416,1.9753,2.0913,1.3953,2955.0181,19.7861,1.9702,2.0712,1.4648
2019-10-23 21:50:00,bu1912.SHF,沥青,0.0,2998.0,2992.0,2994.0,2969.5259,11.1285,2.1992,2.5587,2.0195,2969.5315,10.1608,2.4081,2.8018,2.2113,2968.8135,9.7284,2.589,3.0001,2.3834,2968.52,9.157,2.7826,3.2194,2.5642,2966.0728,9.8096,2.8469,3.2547,2.643,2965.712,9.4935,2.9797,3.401,2.769,2965.6286,9.3793,3.0249,3.4514,2.8116,2966.3342,10.4493,2.6476,3.0304,2.4562,2960.7422,16.8492,1.9738,2.2112,1.8551,2955.3598,19.9107,1.9407,2.1416,1.8402
2019-10-23 21:55:00,bu1912.SHF,沥青,0.0,2996.0,2988.0,2988.0,2969.9705,11.3557,1.5877,2.2922,1.5877,2969.8263,10.3646,1.7534,2.5253,1.7534,2969.0763,9.9179,1.908,2.7147,1.908,2968.7931,9.3349,2.0575,2.9145,2.0575,2966.3066,9.9657,2.1768,2.9796,2.1768,2965.9662,9.6066,2.2936,3.1264,2.2936,2965.6222,9.5027,2.3549,3.1968,2.3549,2966.5618,10.4673,2.0481,2.8124,2.0481,2961.4356,16.3559,1.6241,2.1133,1.6241,2955.5316,19.9972,1.6236,2.0237,1.6236
2019-10-23 22:00:00,bu1912.SHF,沥青,0.0,2990.0,2978.0,2984.0,2970.5555,11.505,1.1686,1.6901,0.6471,2970.2081,10.4847,1.3154,1.8877,0.7432,2969.501,10.0218,1.4467,2.0454,0.8481,2969.1571,9.4479,1.571,2.2061,0.936,2966.6327,10.0464,1.7287,2.3259,1.1315,2966.2886,9.6655,1.8324,2.4532,1.2117,2965.7894,9.5879,1.8993,2.5251,1.2735,2966.8449,10.4789,1.6371,2.2097,1.0645,2961.9267,15.915,1.387,1.764,1.01,2955.7837,20.0571,1.4068,1.7059,1.1077
2019-10-23 22:05:00,bu1912.SHF,沥青,0.0,2988.0,2982.0,2988.0,2970.7787,11.7283,1.4683,1.4683,0.9568,2970.3736,10.6757,1.6511,1.6511,1.0891,2969.9508,10.1524,1.7778,1.7778,1.1868,2969.2717,9.6141,1.948,1.948,1.3239,2966.7774,10.1986,2.0809,2.0809,1.4926,2966.4331,9.8103,2.1984,2.1984,1.5868,2965.8518,9.7164,2.2795,2.2795,1.662,2967.235,10.4463,1.9878,1.9878,1.4134,2962.2918,15.3336,1.6766,1.6766,1.2853,2955.8966,20.1335,1.5945,1.5945,1.2965
2019-10-23 22:10:00,bu1912.SHF,沥青,0.0,2988.0,2984.0,2986.0,2970.8531,11.8939,1.2735,1.4417,1.1053,2970.4768,10.8223,1.4344,1.6192,1.2496,2970.0651,10.2219,1.5589,1.7546,1.3632,2969.3636,9.7493,1.7064,1.9116,1.5013,2966.8486,10.3202,1.8557,2.0495,1.6619,2966.4984,9.9307,1.9638,2.1652,1.7624,2965.8841,9.8261,2.0472,2.2507,1.8436,2967.6493,10.4326,1.759,1.9507,1.5673,2962.6959,14.8922,1.5649,1.6992,1.4306,2955.9586,20.1923,1.4878,1.5868,1.3887
